district,name,votes,percent_votes
13001,Jean Marie Gionet Liberal/Libéral,6491,14.1
13002,Dominic LeBlanc ** Liberal/Libéral,17399,39.1
13002,Evelyne Chapman Conservative/Conservateur,14811,33.3
13002,Susan Levi-Peters NDP-New Democratic Party/NPD-Nouveau Parti démocratique,10397,23.4
13002,Natalie Arsenault Green Party/Parti Vert,1913,4.3
13003,Keith Ashfield ** Conservative/Conservateur,21573,48.4
13003,Jesse Travis NDP-New Democratic Party/NPD-Nouveau Parti démocratique,10626,23.8
13003,Randy McKeen Liberal/Libéral,10336,23.2
13003,Louise Anna-Marie Comeau Green Party/Parti Vert,1790,4
13003,Adam Scott Ness Independent/Indépendant,266,0.6
13004,Rob Moore ** Conservative/Conservateur,21206,58.1
13004,Darryl Pitre NDP-New Democratic Party/NPD-Nouveau Parti démocratique,9845,27
13004,Linda Wilhelm Liberal/Libéral,3668,10.1
13004,Stephanie Coburn Green Party/Parti Vert,1757,4.8
13005,Bernard Valcourt Conservative/Conservateur,14224,40.6
13005,Jean-Claude JC D'Amours ** Liberal/Libéral,12309,35.2
13005,Widler Jules NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6562,18.8
13005,Louis Bérubé Independent/Indépendant,1290,3.7
13005,Lynn Morrison Green Party/Parti Vert,612,1.7
13006,Tilly O'Neill Gordon ** Conservative/Conservateur,16112,52.4
13006,Patrick Colford NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7097,23.1
13006,Keith Vickers Liberal/Libéral,6800,22.1
13006,Ronald Mazerolle Green Party/Parti Vert,735,2.4
13007,Robert Goguen Conservative/Conservateur,17408,35.7
13007,Brian Murphy ** Liberal/Libéral,15247,31.3
13007,Shawna Gagné NDP-New Democratic Party/NPD-Nouveau Parti démocratique,14053,28.8
13007,Steven Steeves Green Party/Parti Vert,2016,4.1
13008,John Williamson Conservative/Conservateur,18066,56.6
13008,Andrew Graham NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7413,23.2
13008,Kelly Wilson Liberal/Libéral,4320,13.5
13008,Janice Harvey Green Party/Parti Vert,1646,5.2
13008,Jason Farris CHP Canada/PHC Canada,450,1.4
13009,Rodney Weston ** Conservative/Conservateur,18456,49.7
13009,Rob Moir NDP-New Democratic Party/NPD-Nouveau Parti démocratique,11382,30.7
13009,Stephen Chase Liberal/Libéral,5964,16.1
13009,Sharon Murphy-Flatt Green Party/Parti Vert,1017,2.7
13009,Arthur Jr. Watson Independent/Indépendant,294,0.8
13010,Mike Allen ** Conservative/Conservateur,21108,62.7
13010,Pierre Cyr NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6388,19
13010,Chuck Chiasson Liberal/Libéral,5337,15.9
13010,Rish McGlynn Green Party/Parti Vert,831,2.5
24046,Romeo Saganash NDP-New Democratic Party/NPD-Nouveau Parti démocratique,13961,44.8
24046,Jean-Maurice Matte Conservative/Conservateur,7089,22.7
24046,Yvon Lévesque ** Bloc Québécois/Bloc Québécois,5615,18
24046,Léandre Gervais Liberal/Libéral,3282,10.5
24046,Johnny Kasudluak Green Party/Parti Vert,1221,3.9
24001,Christine Moore NDP-New Democratic Party/NPD-Nouveau Parti démocratique,24763,51.2
24001,Marc Lemay ** Bloc Québécois/Bloc Québécois,15258,31.6
24001,Steven Hébert Conservative/Conservateur,4777,9.9
24001,Suzie Grenon Liberal/Libéral,2859,5.9
24001,Patrick Rochon Green Party/Parti Vert,694,1.4
24002,Maria Mourani ** Bloc Québécois/Bloc Québécois,14908,31.8
24002,Chantal Reeves NDP-New Democratic Party/NPD-Nouveau Parti démocratique,14200,30.3
24002,Noushig Eloyan Liberal/Libéral,13087,27.9
24002,Constantin Kiryakidis Conservative/Conservateur,3770,8
24002,Ted Kouretas Green Party/Parti Vert,620,1.3
24002,Jean-Olivier Berthiaume Rhinoceros/Rhinocéros,299,0.6
24003,Rosane Doré Lefebvre NDP-New Democratic Party/NPD-Nouveau Parti démocratique,23098,42.1
24003,Robert Carrier ** Bloc Québécois/Bloc Québécois,12504,22.8
24003,Angelo G. Iacono Liberal/Libéral,12070,22
24003,Pierre Lefebvre Conservative/Conservateur,6157,11.2
24003,Dylan Perceval-Maxwell Green Party/Parti Vert,798,1.5
24003,Régent Millette Independent/Indépendant,245,0.4
24004,Mylène Freeman NDP-New Democratic Party/NPD-Nouveau Parti démocratique,25802,44.3
24004,Mario Laframboise ** Bloc Québécois/Bloc Québécois,16880,29
24004,Daniel Fox Liberal/Libéral,7135,12.2
24004,Yvan Patry Conservative/Conservateur,6497,11.1
24004,Stephen Matthews Green Party/Parti Vert,1506,2.6
24004,Michel Daniel Guibord Independent/Indépendant,342,0.6
24004,Christian-Simon Ferlatte Marxist-Leninist/Marxiste-Léniniste,117,0.2
24054,Louis Plamondon ** Bloc Québécois/Bloc Québécois,19046,38.3
24054,Krista Lalonde NDP-New Democratic Party/NPD-Nouveau Parti démocratique,17705,35.6
24054,Charles Cartier Conservative/Conservateur,6478,13
24054,Rhéal Blais Liberal/Libéral,5024,10.1
24054,Anne-Marie Tanguay Green Party/Parti Vert,1479,3
24005,Maxime Bernier ** Conservative/Conservateur,26799,50.7
24005,Serge Bergeron NDP-New Democratic Party/NPD-Nouveau Parti démocratique,15831,30
24005,Claude Morin Liberal/Libéral,5833,11
24005,Sylvio Morin Bloc Québécois/Bloc Québécois,3535,6.7
24005,Etienne Doyon Lessard Green Party/Parti Vert,852,1.6
24006,Anne Minh-Thu Quach NDP-New Democratic Party/NPD-Nouveau Parti démocratique,23998,43.8
24006,Claude DeBellefeuille ** Bloc Québécois/Bloc Québécois,18182,33.2
24006,David Couturier Conservative/Conservateur,7049,12.9
24006,François Deslandres Liberal/Libéral,4559,8.3
24006,Rémi Pelletier Green Party/Parti Vert,1003,1.8
24007,Raymond Côté NDP-New Democratic Party/NPD-Nouveau Parti démocratique,24306,46.1
24007,Sylvie Boucher ** Conservative/Conservateur,13845,26.2
24007,Michel Létourneau Bloc Québécois/Bloc Québécois,10250,19.4
24007,Lorraine Chartier Liberal/Libéral,3162,6
24007,Louise Courville Green Party/Parti Vert,950,1.8
24007,Anne-Marie Genest CHP Canada/PHC Canada,124,0.2
24007,Claude Moreau Marxist-Leninist/Marxiste-Léniniste,122,0.2
24008,Ruth Ellen Brosseau NDP-New Democratic Party/NPD-Nouveau Parti démocratique,22403,39.6
24008,Guy André ** Bloc Québécois/Bloc Québécois,16668,29.4
24008,Francine Gaudet Liberal/Libéral,8060,14.2
24008,Marie-Claude Godue Conservative/Conservateur,7904,14
24008,Léonie Matteau Green Party/Parti Vert,1196,2.1
24008,Martin Jubinville Rhinoceros/Rhinocéros,373,0.7
24009,Denis Coderre ** Liberal/Libéral,15550,40.9
24009,Julie Demers NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12270,32.3
24009,Daniel Mailhot Bloc Québécois/Bloc Québécois,6105,16.1
24009,David Azoulay Conservative/Conservateur,3354,8.8
24009,Tiziana Centazzo Green Party/Parti Vert,613,1.6
24009,Geneviève Royer Marxist-Leninist/Marxiste-Léniniste,121,0.3
24010,Pierre Jacob NDP-New Democratic Party/NPD-Nouveau Parti démocratique,22407,42.6
24010,Denis Paradis Liberal/Libéral,11589,22.1
24010,Christelle Bogosta Bloc Québécois/Bloc Québécois,11173,21.3
24010,Nolan LeBlanc-Bauerle Conservative/Conservateur,6256,11.9
24010,Benoit Lambert Green Party/Parti Vert,1120,2.1
24011,Hoang Mai NDP-New Democratic Party/NPD-Nouveau Parti démocratique,25512,41
24011,Alexandra Mendès ** Liberal/Libéral,16976,27.3
24011,Marcel Lussier Bloc Québécois/Bloc Québécois,10890,17.5
24011,Maurice Brossard Conservative/Conservateur,7806,12.6
24011,Kevin Murphy Green Party/Parti Vert,900,1.4
24011,Normand Chouinard Marxist-Leninist/Marxiste-Léniniste,110,0.2
24012,Matthew Dubé NDP-New Democratic Party/NPD-Nouveau Parti démocratique,29591,42.7
24012,Yves Lessard ** Bloc Québécois/Bloc Québécois,19147,27.7
24012,Jean-François Mercier Independent/Indépendant,7843,11.3
24012,Bernard DeLorme Liberal/Libéral,6165,8.9
