district,name,votes,percent_votes
Cardigan,Lawrence MacAulay ** Liberal/Libéral,11064,53.38
Cardigan,Peter McQuaid Conservative/conservateur,6889,33.24
Cardigan,Dave MacKinnon N.D.P./N.P.D.,2103,10.15
Cardigan,Jeremy Stiles Green Party/Parti Vert,670,3.23
Charlottetown,Shawn Murphy ** Liberal/Libéral,9175,49.36
Charlottetown,Darren Peters Conservative/conservateur,5121,27.55
Charlottetown,Dody Crane N.D.P./N.P.D.,3428,18.44
Charlottetown,Will McFadden Green Party/Parti Vert,760,4.09
Charlottetown,Baird Judson Christian Heritage Party/Parti de l'Héritage Chrétien,105,0.56
Egmont,Joe McGuire ** Liberal/Libéral,10220,55.44
Egmont,Reg Harper Conservative/conservateur,5363,29.09
Egmont,Regena Kaye Russell N.D.P./N.P.D.,2133,11.57
Egmont,Irené Novaczek Green Party/Parti Vert,717,3.89
Malpeque,Wayne Easter ** Liberal/Libéral,9782,51.9
Malpeque,Mary Crane Conservative/conservateur,6126,32.5
Malpeque,Ken Bingham N.D.P./N.P.D.,1902,10.09
Malpeque,Sharon Labchuk Green Party/Parti Vert,1037,5.5
Cape Breton--Canso,Rodger Cuzner ** Liberal/Libéral,20139,53.26
Cape Breton--Canso,Shirley Hartery N.D.P./N.P.D.,9197,24.32
Cape Breton--Canso,Kenzie MacNeil Conservative/conservateur,7654,20.24
Cape Breton--Canso,Seumas Gibson Green Party/Parti Vert,820,2.17
Central Nova/Nova-Centre,Peter G. MacKay ** Conservative/conservateur,16376,43.27
Central Nova/Nova-Centre,Alexis MacDonald N.D.P./N.P.D.,10470,27.66
Central Nova/Nova-Centre,Susan L. Green Liberal/Libéral,9986,26.39
Central Nova/Nova-Centre,Rebecca Mosher Green Party/Parti Vert,1015,2.68
Dartmouth--Cole Harbour,Michael John Savage Liberal/Libéral,17425,42.07
Dartmouth--Cole Harbour,Susan MacAlpine-Gillis N.D.P./N.P.D.,13463,32.5
Dartmouth--Cole Harbour,Mike MacDonald Conservative/conservateur,8739,21.1
Dartmouth--Cole Harbour,Michael Marshall Green Party/Parti Vert,1311,3.16
Dartmouth--Cole Harbour,Tracy Parsons PC Party/Parti PC,415,1
Dartmouth--Cole Harbour,Charles Spurr Marxist-Leninist/Marxiste-Léniniste,70,0.17
Halifax,Alexa McDonough ** N.D.P./N.P.D.,18341,41.55
Halifax,Sheila Fougere Liberal/Libéral,17267,39.11
Halifax,Kevin Leslie Keefe Conservative/conservateur,6457,14.63
Halifax,Michael Oddy Green Party/Parti Vert,2081,4.71
Halifax West/Halifax-Ouest,Geoff Regan ** Liberal/Libéral,19083,47.5
Halifax West/Halifax-Ouest,Bill Carr N.D.P./N.P.D.,11228,27.95
Halifax West/Halifax-Ouest,Ken MacPhee Conservative/conservateur,8413,20.94
Halifax West/Halifax-Ouest,Martin Willison Green Party/Parti Vert,1452,3.61
Kings--Hants,Scott Brison ** Liberal/Libéral,17555,46.61
Kings--Hants,Bob Mullan Conservative/conservateur,11344,30.12
Kings--Hants,Skip Hambling N.D.P./N.P.D.,6663,17.69
Kings--Hants,Kevin Stacey Green Party/Parti Vert,1364,3.62
Kings--Hants,Jim Hnatiuk Christian Heritage Party/Parti de l'Héritage Chrétien,493,1.31
Kings--Hants,Richard Hennigar Independent/Indépendant,242,0.64
North Nova/Nova-Nord,Bill Casey ** Conservative/conservateur,20188,50.49
North Nova/Nova-Nord,Dianne Brushett Liberal/Libéral,10591,26.49
North Nova/Nova-Nord,Margaret E. Sagar N.D.P./N.P.D.,7560,18.91
North Nova/Nova-Nord,Sheila G. Richardson Green Party/Parti Vert,1245,3.11
North Nova/Nova-Nord,Jack Moors PC Party/Parti PC,399,1
Sackville--Eastern Shore,Peter Stoffer ** N.D.P./N.P.D.,17925,45.77
Sackville--Eastern Shore,Dale Stevens Liberal/Libéral,11222,28.66
Sackville--Eastern Shore,Steve Streatch Conservative/conservateur,8363,21.35
Sackville--Eastern Shore,David Fullerton Green Party/Parti Vert,1007,2.57
Sackville--Eastern Shore,Greg Moors PC Party/Parti PC,645,1.65
South Shore--St. Margaret's,Gerald Keddy ** Conservative/conservateur,14954,37.9
South Shore--St. Margaret's,John Chandler Liberal/Libéral,12658,32.08
South Shore--St. Margaret's,Gordon Earle N.D.P./N.P.D.,10140,25.7
South Shore--St. Margaret's,Katie Morris Boudreau Green Party/Parti Vert,1700,4.31
Sydney--Victoria,Mark Eyking ** Liberal/Libéral,19372,52.13
Sydney--Victoria,John Hugh Edwards N.D.P./N.P.D.,10298,27.71
Sydney--Victoria,Howie MacDonald Conservative/conservateur,5897,15.87
Sydney--Victoria,Chris Milburn Green Party/Parti Vert,855,2.3
Sydney--Victoria,Cathy Thériault Marijuana Party/Parti Marijuana,474,1.28
Sydney--Victoria,B. Chris Gallant Independent/Indépendant,264,0.71
West Nova/Nova-Ouest,Robert Thibault ** Liberal/Libéral,18343,42.64
West Nova/Nova-Ouest,Jon Charles Carey Conservative/conservateur,14209,33.03
West Nova/Nova-Ouest,Edmund Arthur Bull N.D.P./N.P.D.,9086,21.12
West Nova/Nova-Ouest,Matthew Granger Green Party/Parti Vert,1385,3.22
Acadie--Bathurst,Yvon Godin ** N.D.P./N.P.D.,23857,53.93
Acadie--Bathurst,Serge Rousselle Liberal/Libéral,14452,32.67
Acadie--Bathurst,Joel E. Bernard Conservative/conservateur,4841,10.94
Acadie--Bathurst,Mario Lanteigne Green Party/Parti Vert,1085,2.45
Beauséjour,Dominic LeBlanc ** Liberal/Libéral,21934,53.28
Beauséjour,Angela Vautour Conservative/conservateur,11604,28.19
Beauséjour,Omer Bourque N.D.P./N.P.D.,6056,14.71
Beauséjour,Anna Girouard Green Party/Parti Vert,1574,3.82
Fredericton,Andy Scott ** Liberal/Libéral,19819,46.78
Fredericton,Kent Fox Conservative/conservateur,14193,33.5
Fredericton,John Carty N.D.P./N.P.D.,7360,17.37
Fredericton,Daron Letts Green Party/Parti Vert,997,2.35
Fundy,Rob Moore Conservative/conservateur,14997,44.82
Fundy,John Herron ** Liberal/Libéral,11635,34.77
Fundy,Pat Hanratty N.D.P./N.P.D.,5417,16.19
Fundy,Karin Bach Green Party/Parti Vert,1051,3.14
Fundy,David Raymond Amos Independent/Indépendant,358,1.07
Madawaska--Restigouche,Jean-Claude J.C. D'Amours Liberal/Libéral,14144,44.66
Madawaska--Restigouche,Rodolphe Martin N.D.P./N.P.D.,8737,27.59
Madawaska--Restigouche,Benoit Violette Conservative/conservateur,7605,24.01
Madawaska--Restigouche,Jovette Cyr Green Party/Parti Vert,1185,3.74
Miramichi,Charles Isaac Hubbard ** Liberal/Libéral,15647,48.08
Miramichi,Michael J. Morrison Conservative/conservateur,9448,29.03
Miramichi,Hilaire Rousselle N.D.P./N.P.D.,5980,18.38
Miramichi,Garry Sanipass Green Party/Parti Vert,1468,4.51
Moncton--Riverview--Dieppe,Claudette Bradshaw ** Liberal/Libéral,25266,59.29
Moncton--Riverview--Dieppe,Jean LeBlanc Conservative/conservateur,10003,23.48
Moncton--Riverview--Dieppe,Hélène Lapointe N.D.P./N.P.D.,5344,12.54
Moncton--Riverview--Dieppe,Judith Hamel Green Party/Parti Vert,1998,4.69
St. Croix--Belleisle,Greg Thompson ** Conservative/conservateur,16339,53.06
St. Croix--Belleisle,Jim Dunlap Liberal/Libéral,9702,31.51
St. Croix--Belleisle,Patrick Webber N.D.P./N.P.D.,3600,11.69
St. Croix--Belleisle,Erik Matthew Millett Green Party/Parti Vert,960,3.12
St. Croix--Belleisle,David Szemerda Canadian Action/Action canadienne,194,0.63
Saint John,Paul Zed Liberal/Libéral,15725,43.28
Saint John,Bob McVicar Conservative/conservateur,12212,33.62
Saint John,Terry Albright N.D.P./N.P.D.,6926,19.06
Saint John,Jonathan Cormier Green Party/Parti Vert,807,2.22
Saint John,Jim Wood Marijuana Party/Parti Marijuana,369,1.02
Saint John,Tom Oland Independent/Indépendant,290,0.8
Tobique--Mactaquac,Andy Savoy ** Liberal/Libéral,16787,48.23
Tobique--Mactaquac,Mike Allen Conservative/conservateur,13779,39.59
Tobique--Mactaquac,Jason Mapplebeck N.D.P./N.P.D.,2957,8.5
Tobique--Mactaquac,Scott Jones Green Party/Parti Vert,1282,3.68
Abitibi--Témiscamingue,Marc Lemay Bloc Québécois/Bloc Québécois,25041,57.66
Abitibi--Témiscamingue,Gilbert Barrette ** Liberal/Libéral,13457,30.98
Abitibi--Témiscamingue,Bernard Hugues Beauchesne Conservative/conservateur,2425,5.58
Abitibi--Témiscamingue,Dennis Shushack N.D.P./N.P.D.,1472,3.39
Abitibi--Témiscamingue,Patrick Rancourt Green Party/Parti Vert,1037,2.39
Ahuntsic,Eleni Bakopanos ** Liberal/Libéral,21234,43.76
Ahuntsic,Maria Mourani Bloc Québécois/Bloc Québécois,20020,41.25
Ahuntsic,Annick Bergeron N.D.P./N.P.D.,3013,6.21
Ahuntsic,Jean E. Fortier Conservative/conservateur,2544,5.24
Ahuntsic,Lynette Tremblay Green Party/Parti Vert,1301,2.68
Ahuntsic,F.X. De Longchamp Marijuana Party/Parti Marijuana,314,0.65
Ahuntsic,Marsha Fine Marxist-Leninist/Marxiste-Léniniste,102,0.21
Alfred-Pellan,Robert Carrier Bloc Québécois/Bloc Québécois,26239,49.2
Alfred-Pellan,Carole-Marie Allard ** Liberal/Libéral,21116,39.59
Alfred-Pellan,Rosane Raymond Conservative/conservateur,2703,5.07
Alfred-Pellan,Benjamin Le Bel N.D.P./N.P.D.,1849,3.47
Alfred-Pellan,Louis-Philippe Verenka Green Party/Parti Vert,1132,2.12
Alfred-Pellan,Yves Desbois Independent/Indépendant,204,0.38
Alfred-Pellan,Régent Millette Independent/Indépendant,89,0.17
Argenteuil--Mirabel,Mario Laframboise ** Bloc Québécois/Bloc Québécois,28228,57.4
Argenteuil--Mirabel,Yves Sabourin Liberal/Libéral,13214,26.87
Argenteuil--Mirabel,David H. McArthur Conservative/conservateur,3460,7.04
Argenteuil--Mirabel,Claude Sabourin Green Party/Parti Vert,2510,5.1
Argenteuil--Mirabel,Elisabeth Clark N.D.P./N.P.D.,1493,3.04
Argenteuil--Mirabel,Laurent Filion Christian Heritage Party/Parti de l'Héritage Chrétien,202,0.41
Argenteuil--Mirabel,Michael O'Grady Marxist-Leninist/Marxiste-Léniniste,69,0.14
Beauce,Claude Drouin ** Liberal/Libéral,19592,41.38
Beauce,Jean-François Barbe Bloc Québécois/Bloc Québécois,17168,36.26
Beauce,Alain Guay Conservative/conservateur,8091,17.09
Beauce,Philippe Giguère N.D.P./N.P.D.,1443,3.05
Beauce,Michel Binette Green Party/Parti Vert,1054,2.23
Beauharnois--Salaberry,Alain Boire Bloc Québécois/Bloc Québécois,26775,50.67
Beauharnois--Salaberry,Serge Marcil ** Liberal/Libéral,18293,34.62
Beauharnois--Salaberry,Dominique Bellemare Conservative/conservateur,4864,9.2
Beauharnois--Salaberry,Rémi Pelletier Green Party/Parti Vert,1415,2.68
Beauharnois--Salaberry,Ligy Alakkattussery N.D.P./N.P.D.,1018,1.93
Beauharnois--Salaberry,Félix Malboeuf Marijuana Party/Parti Marijuana,480,0.91
Beauport,Christian Simard Bloc Québécois/Bloc Québécois,22989,49.65
Beauport,Dennis Dawson Liberal/Libéral,11866,25.63
Beauport,Stephan Asselin Conservative/conservateur,7388,15.96
Beauport,Xavier Trégan N.D.P./N.P.D.,1896,4.09
Beauport,Jeannine T. Desharnais Green Party/Parti Vert,1577,3.41
Beauport,Nicolas Frichot Marijuana Party/Parti Marijuana,585,1.26
Berthier--Maskinongé,Guy André Bloc Québécois/Bloc Québécois,29432,59.9
Berthier--Maskinongé,Laurier Thibault Liberal/Libéral,11198,22.79
Berthier--Maskinongé,Ann Julie Fortier Conservative/conservateur,5535,11.27
Berthier--Maskinongé,Denis McKinnon N.D.P./N.P.D.,1653,3.36
Berthier--Maskinongé,Eric Labrecque Green Party/Parti Vert,1314,2.67
Bourassa,Denis Coderre ** Liberal/Libéral,20927,50.03
Bourassa,Doris Provencher Bloc Québécois/Bloc Québécois,15794,37.76
Bourassa,Frédéric Grenier Conservative/conservateur,2226,5.32
Bourassa,Stefano Saykaly N.D.P./N.P.D.,1661,3.97
Bourassa,Noémi Lopinto Green Party/Parti Vert,660,1.58
Bourassa,Philippe Gauvin Marijuana Party/Parti Marijuana,403,0.96
Bourassa,Geneviève Royer Marxist-Leninist/Marxiste-Léniniste,154,0.37
Brome--Missisquoi,Denis Paradis ** Liberal/Libéral,18609,42.08
Brome--Missisquoi,Christian Ouellet Bloc Québécois/Bloc Québécois,17537,39.66
Brome--Missisquoi,Peter Stastny Conservative/conservateur,4888,11.05
Brome--Missisquoi,Louise Martineau Green Party/Parti Vert,2011,4.55
Brome--Missisquoi,Piper Huggins N.D.P./N.P.D.,1177,2.66
Brossard--La Prairie,Jacques Saada ** Liberal/Libéral,24155,45.9
Brossard--La Prairie,Marcel Lussier Bloc Québécois/Bloc Québécois,21596,41.04
Brossard--La Prairie,Robert Nicolas Conservative/conservateur,3107,5.9
Brossard--La Prairie,Nadia Alexan N.D.P./N.P.D.,2321,4.41
Brossard--La Prairie,Cécile Bissonnette Green Party/Parti Vert,1340,2.55
Brossard--La Prairie,Yves Le Seigle Marxist-Leninist/Marxiste-Léniniste,109,0.21
Chambly--Borduas,Yves Lessard Bloc Québécois/Bloc Québécois,33945,60.85
Chambly--Borduas,Sophie Joncas Liberal/Libéral,12694,22.75
Chambly--Borduas,Lucien Richard Conservative/conservateur,4219,7.56
Chambly--Borduas,Daniel Blouin N.D.P./N.P.D.,2681,4.81
Chambly--Borduas,Benoit Lapointe Green Party/Parti Vert,2248,4.03
Charlesbourg,Richard Marceau ** Bloc Québécois/Bloc Québécois,23886,51.6
Charlesbourg,Jean-Marie Laliberté Liberal/Libéral,11911,25.73
Charlesbourg,Bertrand Proulx Conservative/conservateur,7306,15.78
Charlesbourg,François Villeneuve N.D.P./N.P.D.,1623,3.51
Charlesbourg,Marilou Moisan-Domm Green Party/Parti Vert,1188,2.57
Charlesbourg,Benjamin Kasapoglu Marijuana Party/Parti Marijuana,376,0.81
Charlevoix--Montmorency,Michel Guimond ** Bloc Québécois/Bloc Québécois,25451,60.91
Charlevoix--Montmorency,Lisette Lepage Liberal/Libéral,8598,20.58
Charlevoix--Montmorency,Guy-Léonard Tremblay Conservative/conservateur,5259,12.59
Charlevoix--Montmorency,Yves Jourdain Green Party/Parti Vert,1422,3.4
Charlevoix--Montmorency,Steeve Hudon N.D.P./N.P.D.,1055,2.52
Châteauguay--Saint-Constant,Denise Poirier-Rivard Bloc Québécois/Bloc Québécois,29337,57.28
Châteauguay--Saint-Constant,Robert Lanctôt ** Liberal/Libéral,15384,30.04
Châteauguay--Saint-Constant,Rosaire Turcot Conservative/conservateur,2902,5.67
Châteauguay--Saint-Constant,Marc-André Gadoury Green Party/Parti Vert,1889,3.69
Châteauguay--Saint-Constant,Mélanie Archambault N.D.P./N.P.D.,1704,3.33
Chicoutimi--Le Fjord,Robert Bouchard Bloc Québécois/Bloc Québécois,20650,45.33
Chicoutimi--Le Fjord,André Harvey ** Liberal/Libéral,19787,43.43
Chicoutimi--Le Fjord,Alcide Boudreault Conservative/conservateur,2385,5.23
Chicoutimi--Le Fjord,Éric Dubois N.D.P./N.P.D.,1699,3.73
Chicoutimi--Le Fjord,Paul Tremblay Green Party/Parti Vert,1038,2.28
Compton--Stanstead,France Bonsant Bloc Québécois/Bloc Québécois,20450,46.7
Compton--Stanstead,David Price ** Liberal/Libéral,15752,35.97
Compton--Stanstead,Gary Caldwell Conservative/conservateur,4589,10.48
Compton--Stanstead,Laurier Busque Green Party/Parti Vert,1546,3.53
Compton--Stanstead,Martin Baller N.D.P./N.P.D.,1451,3.31
Drummond,Pauline Picard ** Bloc Québécois/Bloc Québécois,23670,56.29
Drummond,Roger Gougeon Liberal/Libéral,9591,22.81
Drummond,Lyne Boisvert Conservative/conservateur,7123,16.94
Drummond,Louis Lacroix Green Party/Parti Vert,921,2.19
Drummond,Blake Evans N.D.P./N.P.D.,745,1.77
Gaspésie--Îles-de-la-Madeleine,Raynald Blais Bloc Québécois/Bloc Québécois,21446,55.67
Gaspésie--Îles-de-la-Madeleine,Georges Farrah ** Liberal/Libéral,12579,32.65
Gaspésie--Îles-de-la-Madeleine,Guy De Coste Conservative/conservateur,2636,6.84
Gaspésie--Îles-de-la-Madeleine,Bob Eichenberger Green Party/Parti Vert,1060,2.75
Gaspésie--Îles-de-la-Madeleine,Philip Toone N.D.P./N.P.D.,805,2.09
Gatineau,Françoise Boivin Liberal/Libéral,19198,42.09
Gatineau,Richard Nadeau Bloc Québécois/Bloc Québécois,18368,40.27
Gatineau,Gérald Nicolas Conservative/conservateur,3461,7.59
Gatineau,Dominique Vaillancourt N.D.P./N.P.D.,2610,5.72
Gatineau,Brian Gibb Green Party/Parti Vert,1402,3.07
Gatineau,Stephane Salko Marijuana Party/Parti Marijuana,453,0.99
Gatineau,Gabriel Girard-Bernier Marxist-Leninist/Marxiste-Léniniste,125,0.27
Hochelaga,Réal Ménard ** Bloc Québécois/Bloc Québécois,27476,60.12
Hochelaga,Benoit Bouvier Liberal/Libéral,11712,25.63
Hochelaga,David Gagnon N.D.P./N.P.D.,2510,5.49
Hochelaga,Mario Bernier Conservative/conservateur,1856,4.06
Hochelaga,Rolf Bramann Green Party/Parti Vert,1361,2.98
Hochelaga,Antoine Théorêt-Poupart Marijuana Party/Parti Marijuana,482,1.05
Hochelaga,Pierre Bibeau Communist/Communiste,190,0.42
Hochelaga,Christine Dandenault Marxist-Leninist/Marxiste-Léniniste,112,0.25
Honoré-Mercier,Pablo Rodriguez Liberal/Libéral,22223,46.1
Honoré-Mercier,Éric St-Hilaire Bloc Québécois/Bloc Québécois,19461,40.37
Honoré-Mercier,Gianni Chiazzese Conservative/conservateur,2902,6.02
Honoré-Mercier,François Pilon N.D.P./N.P.D.,1973,4.09
Honoré-Mercier,Richard Lahaie Green Party/Parti Vert,852,1.77
Honoré-Mercier,Steve Boudrias Marijuana Party/Parti Marijuana,626,1.3
Honoré-Mercier,Hélène Héroux Marxist-Leninist/Marxiste-Léniniste,164,0.34
Hull--Aylmer,Marcel Proulx ** Liberal/Libéral,20135,41.87
Hull--Aylmer,Alain Charette Bloc Québécois/Bloc Québécois,15626,32.49
Hull--Aylmer,Pierre Laliberté N.D.P./N.P.D.,5709,11.87
Hull--Aylmer,Pierrette Bellefeuille Conservative/conservateur,3963,8.24
Hull--Aylmer,Gail Walker Green Party/Parti Vert,2561,5.33
Hull--Aylmer,Christian Legeais Marxist-Leninist/Marxiste-Léniniste,98,0.2
Jeanne-Le Ber,Liza Frulla ** Liberal/Libéral,18766,41.09
Jeanne-Le Ber,Thierry St-Cyr Bloc Québécois/Bloc Québécois,18694,40.93
Jeanne-Le Ber,Anthony Philbin N.D.P./N.P.D.,3160,6.92
Jeanne-Le Ber,Pierre-Albert Sévigny Conservative/conservateur,2524,5.53
Jeanne-Le Ber,Jean Claude Mercier Green Party/Parti Vert,1864,4.08
Jeanne-Le Ber,Cathy Duchesne Marijuana Party/Parti Marijuana,520,1.14
Jeanne-Le Ber,Normand Chouinard Marxist-Leninist/Marxiste-Léniniste,148,0.32
Joliette,Pierre A. Paquette ** Bloc Québécois/Bloc Québécois,30661,63.42
Joliette,Jean-François Coderre Liberal/Libéral,10975,22.7
Joliette,Daniel Bouchard Conservative/conservateur,3107,6.43
Joliette,Jacques Trudeau N.D.P./N.P.D.,1755,3.63
Joliette,Wendy Gorchinsky Green Party/Parti Vert,1147,2.37
Joliette,Marco Geoffroy Marijuana Party/Parti Marijuana,701,1.45
Jonquière--Alma,Sébastien Gagnon ** Bloc Québécois/Bloc Québécois,25193,54.93
Jonquière--Alma,Daniel Giguère Liberal/Libéral,13355,29.12
Jonquière--Alma,Jocelyne Girard-Bujold ** Independent/Indépendant,2737,5.97
Jonquière--Alma,Gilles Lavoie Conservative/conservateur,2217,4.83
Jonquière--Alma,François Picard N.D.P./N.P.D.,1561,3.4
Jonquière--Alma,Jean-Sébastien Busque Green Party/Parti Vert,679,1.48
Jonquière--Alma,Michel Perron Communist/Communiste,121,0.26
Lac-Saint-Louis,Francis Scarpaleggia Liberal/Libéral,32122,63.91
Lac-Saint-Louis,Jeff Howard Conservative/conservateur,6082,12.1
Lac-Saint-Louis,Maxime Côté Bloc Québécois/Bloc Québécois,5106,10.16
Lac-Saint-Louis,Daniel Quinn N.D.P./N.P.D.,3789,7.54
Lac-Saint-Louis,Peter Graham Green Party/Parti Vert,2584,5.14
Lac-Saint-Louis,Patrick Cardinal Marijuana Party/Parti Marijuana,578,1.15
La Pointe-de-l'Île,Francine Lalonde ** Bloc Québécois/Bloc Québécois,30713,66.47
La Pointe-de-l'Île,Jean-Claude Gobé Liberal/Libéral,10593,22.93
La Pointe-de-l'Île,Christian Prevost Conservative/conservateur,1961,4.24
La Pointe-de-l'Île,André Langevin N.D.P./N.P.D.,1751,3.79
La Pointe-de-l'Île,Andre Levert Green Party/Parti Vert,1186,2.57
LaSalle--Émard,Paul Martin ** Liberal/Libéral,25806,56.55
LaSalle--Émard,Thierry Larrivée Bloc Québécois/Bloc Québécois,14001,30.68
LaSalle--Émard,Nicole Roy-Arcelin Conservative/conservateur,2271,4.98
LaSalle--Émard,Rebecca Blaikie N.D.P./N.P.D.,1995,4.37
LaSalle--Émard,Douglas Jack Green Party/Parti Vert,1000,2.19
LaSalle--Émard,Marc-Boris St-Maurice Marijuana Party/Parti Marijuana,349,0.76
LaSalle--Émard,Jean-Paul Bédard Marxist-Leninist/Marxiste-Léniniste,210,0.46
Laurentides--Labelle,Johanne Deschamps Bloc Québécois/Bloc Québécois,28675,58.38
Laurentides--Labelle,Dominique Boyer Liberal/Libéral,14459,29.43
Laurentides--Labelle,Guillaume Desjardins Conservative/conservateur,2887,5.88
Laurentides--Labelle,Jacques Léger Green Party/Parti Vert,1781,3.63
Laurentides--Labelle,Brendan Naef N.D.P./N.P.D.,1320,2.69
Laurier,Gilles Duceppe ** Bloc Québécois/Bloc Québécois,28728,60.07
Laurier,Jean-François Thibault Liberal/Libéral,8454,17.68
Laurier,François Gregoire N.D.P./N.P.D.,5779,12.08
Laurier,Dylan Perceval-Maxwell Green Party/Parti Vert,2912,6.09
Laurier,Pierre Albert Conservative/conservateur,1224,2.56
Laurier,Nicky Tanguay Marijuana Party/Parti Marijuana,572,1.2
Laurier,Ginette Boutet Marxist-Leninist/Marxiste-Léniniste,154,0.32
Laval,Nicole Demers Bloc Québécois/Bloc Québécois,24425,50.09
Laval,Pierre Lafleur Liberal/Libéral,17639,36.18
Laval,Stéphane d'Amours Conservative/conservateur,3115,6.39
Laval,Alain Giguère N.D.P./N.P.D.,1998,4.1
Laval,Damien Pichereau Green Party/Parti Vert,1091,2.24
Laval,Pierre Losier-Côté Marijuana Party/Parti Marijuana,492,1.01
Laval--Les Îles,Raymonde Folco ** Liberal/Libéral,23985,47.86
Laval--Les Îles,Micaël Poirier Bloc Québécois/Bloc Québécois,18597,37.11
Laval--Les Îles,Jean-Paul Pratte Conservative/conservateur,3498,6.98
Laval--Les Îles,Paul Michaud N.D.P./N.P.D.,2202,4.39
Laval--Les Îles,Pierre Véronneau Green Party/Parti Vert,1178,2.35
Laval--Les Îles,Michel Allard Marijuana Party/Parti Marijuana,498,0.99
Laval--Les Îles,Polyvios Tsakanikas Marxist-Leninist/Marxiste-Léniniste,154,0.31
Lévis--Bellechasse,Réal Lapierre Bloc Québécois/Bloc Québécois,21930,44.34
Lévis--Bellechasse,Christian Jobin ** Liberal/Libéral,13664,27.62
Lévis--Bellechasse,Gilles Vézina Conservative/conservateur,9425,19.05
Lévis--Bellechasse,Sylvain Castonguay Green Party/Parti Vert,2372,4.8
Lévis--Bellechasse,Louise Foisy N.D.P./N.P.D.,1910,3.86
Lévis--Bellechasse,Christophe Vaillancourt Communist/Communiste,163,0.33
Longueuil,Caroline St-Hilaire ** Bloc Québécois/Bloc Québécois,29473,60.94
Longueuil,Robert Gladu Liberal/Libéral,12363,25.56
Longueuil,Nicole Fournier-Sylvester N.D.P./N.P.D.,2512,5.19
Longueuil,Richard Bélisle Conservative/conservateur,2354,4.87
Longueuil,Michel Bédard Green Party/Parti Vert,1263,2.61
Longueuil,David Fiset Marijuana Party/Parti Marijuana,401,0.83
Lotbinière--Chutes-de-la-Chaudière,Odina Desrochers ** Bloc Québécois/Bloc Québécois,20245,45.99
Lotbinière--Chutes-de-la-Chaudière,Jean Landry Conservative/conservateur,10628,24.14
Lotbinière--Chutes-de-la-Chaudière,Anicet Gagné Liberal/Libéral,9445,21.45
Lotbinière--Chutes-de-la-Chaudière,Jean Bernatchez N.D.P./N.P.D.,2091,4.75
Lotbinière--Chutes-de-la-Chaudière,Rama Borne MacDonald Green Party/Parti Vert,1615,3.67
Louis-Hébert,Roger Clavet Bloc Québécois/Bloc Québécois,24071,43.11
Louis-Hébert,Hélène Chalifour Scherrer ** Liberal/Libéral,18999,34.03
Louis-Hébert,Clermont Gauthier Conservative/conservateur,7512,13.45
Louis-Hébert,Robert Turcotte N.D.P./N.P.D.,3112,5.57
Louis-Hébert,Jean-Pierre Guay Green Party/Parti Vert,2137,3.83
Louis-Saint-Laurent,Bernard Cleary Bloc Québécois/Bloc Québécois,17248,38.44
Louis-Saint-Laurent,Josée Verner Conservative/conservateur,13967,31.13
Louis-Saint-Laurent,Michel Fragasso Liberal/Libéral,10025,22.34
