district,name,votes,percent_votes
Avalon,R. John Efford ** Liberal/Libéral,18335,58.34
Avalon,Rick Dalton Conservative/conservateur,9211,29.31
Avalon,Michael Kehoe N.D.P./N.P.D.,3450,10.98
Avalon,Don C. Ferguson Green Party/Parti Vert,430,1.37
Bonavista--Exploits,Scott Simms Liberal/Libéral,15970,48.2
Bonavista--Exploits,Rex Barnes ** Conservative/conservateur,13786,41.61
Bonavista--Exploits,Samuel Robert McLean N.D.P./N.P.D.,2667,8.05
Bonavista--Exploits,Ed Sailor White Green Party/Parti Vert,367,1.11
Bonavista--Exploits,John Lannon Independent/Indépendant,344,1.04
Humber--St. Barbe--Baie Verte,Gerry Byrne ** Liberal/Libéral,17820,62.56
Humber--St. Barbe--Baie Verte,Wynanne Downer Conservative/conservateur,6538,22.95
Humber--St. Barbe--Baie Verte,Holly Pike N.D.P./N.P.D.,3743,13.14
Humber--St. Barbe--Baie Verte,Steve Durant Green Party/Parti Vert,384,1.35
Labrador,Lawrence David O'Brien ** Liberal/Libéral,5524,62.23
Labrador,Merrill Strachan Conservative/conservateur,1400,15.77
Labrador,Ern Condon Independent/Indépendant,919,10.35
Labrador,Shawn Crann N.D.P./N.P.D.,856,9.64
Labrador,Lori-Ann Martino Green Party/Parti Vert,178,2.01
Random--Burin--St. George's,Bill Matthews ** Liberal/Libéral,12383,46.77
Random--Burin--St. George's,Des McGrath N.D.P./N.P.D.,8797,33.23
Random--Burin--St. George's,Larry Peckford Conservative/conservateur,4820,18.21
Random--Burin--St. George's,Justin Dollimont Green Party/Parti Vert,474,1.79
St. John's North/St. John's-Nord,Norman E Doyle ** Conservative/conservateur,15073,41.4
St. John's North/St. John's-Nord,Walter Noel Liberal/Libéral,13343,36.65
St. John's North/St. John's-Nord,Janine Piller N.D.P./N.P.D.,7198,19.77
St. John's North/St. John's-Nord,Scott Vokey Green Party/Parti Vert,791,2.17
St. John's South/St. John's-Sud,Loyola Hearn ** Conservative/conservateur,13330,39.57
St. John's South/St. John's-Sud,Siobhan Coady Liberal/Libéral,11879,35.26
St. John's South/St. John's-Sud,Peg Norman N.D.P./N.P.D.,7989,23.71
St. John's South/St. John's-Sud,Stephen Daniel Willcott Green Party/Parti Vert,493,1.46
