district	district_name	results_type	surname	given_name	party	votes	percent_votes	rejected_ballots	total_ballots
10007	St. John's South--Mount Pearl	validated	Ruckpaul	Benjamin	People's Party	335	0.8	592	41258
11001	Cardigan	preliminary	Beaton	Glen	Green Party	3006	13.9	0	21697
11001	Cardigan	preliminary	MacAulay	Lawrence	Liberal	10687	49.3	0	21697
11001	Cardigan	preliminary	Phelan	Wayne	Conservative	6303	29.1	0	21697
11001	Cardigan	preliminary	Squires	Christene	Christian Heritage Party	233	1.1	0	21697
11001	Cardigan	preliminary	Thiele	Lynne	NDP-New Democratic Party	1468	6.8	0	21697
11001	Cardigan	validated	Beaton	Glen	Green Party	3068	13.8	232	22399
11001	Cardigan	validated	MacAulay	Lawrence	Liberal	10939	49.3	232	22399
11001	Cardigan	validated	Phelan	Wayne	Conservative	6439	29	232	22399
11001	Cardigan	validated	Squires	Christene	Christian Heritage Party	240	1.1	232	22399
11001	Cardigan	validated	Thiele	Lynne	NDP-New Democratic Party	1481	6.7	232	22399
11002	Charlottetown	preliminary	Byrne	Joe	NDP-New Democratic Party	2193	11.4	0	19252
11002	Charlottetown	preliminary	Campbell	Robert A.	Conservative	3924	20.4	0	19252
11002	Charlottetown	preliminary	Casey	Sean	Liberal	8509	44.2	0	19252
11002	Charlottetown	preliminary	Lanthier	Darcie	Green Party	4458	23.2	0	19252
11002	Charlottetown	preliminary	MacLeod	Fred	Christian Heritage Party	168	0.9	0	19252
11002	Charlottetown	validated	Byrne	Joe	NDP-New Democratic Party	2238	11.2	274	20184
11002	Charlottetown	validated	Campbell	Robert A.	Conservative	4040	20.3	274	20184
11002	Charlottetown	validated	Casey	Sean	Liberal	8812	44.3	274	20184
11002	Charlottetown	validated	Lanthier	Darcie	Green Party	4648	23.3	274	20184
11002	Charlottetown	validated	MacLeod	Fred	Christian Heritage Party	172	0.9	274	20184
11003	Egmont	preliminary	Clark	Alex	Green Party	3747	19.7	0	19058
11003	Egmont	preliminary	Dunn	Sharon	NDP-New Democratic Party	1182	6.2	0	19058
11003	Egmont	preliminary	McLellan	Logan	Conservative	6616	34.7	0	19058
11003	Egmont	preliminary	Morrissey	Bobby	Liberal	7513	39.4	0	19058
11003	Egmont	validated	Clark	Alex	Green Party	3998	19.8	274	20452
11003	Egmont	validated	Dunn	Sharon	NDP-New Democratic Party	1230	6.1	274	20452
11003	Egmont	validated	McLellan	Logan	Conservative	6934	34.4	274	20452
11003	Egmont	validated	Morrissey	Bobby	Liberal	8016	39.7	274	20452
