district	district_name	results_type	surname	given_name	party	votes	percent_votes	rejected_ballots	total_ballots
24042	Lévis--Lotbinière	validated	Marchand	Christel	NDP-New Democratic Party	4355	6.9	1241	64730
24043	Longueuil--Saint-Hubert	preliminary	Clune	Patrick	Conservative	3727	6.3	0	59239
24043	Longueuil--Saint-Hubert	preliminary	Comeau	Ellen	People's Party	463	0.8	0	59239
24043	Longueuil--Saint-Hubert	preliminary	Ferland	Éric	NDP-New Democratic Party	4997	8.4	0	59239
24043	Longueuil--Saint-Hubert	preliminary	Filion	Pierre-Luc	Independent	241	0.4	0	59239
24043	Longueuil--Saint-Hubert	preliminary	Hébert	Réjean	Liberal	20271	34.2	0	59239
24043	Longueuil--Saint-Hubert	preliminary	Nantel	Pierre	Green Party	6603	11.1	0	59239
24043	Longueuil--Saint-Hubert	preliminary	Trudel	Denis	Bloc Québécois	22937	38.7	0	59239
24043	Longueuil--Saint-Hubert	validated	Clune	Patrick	Conservative	3779	6.3	1086	60930
24043	Longueuil--Saint-Hubert	validated	Comeau	Ellen	People's Party	467	0.8	1086	60930
24043	Longueuil--Saint-Hubert	validated	Ferland	Éric	NDP-New Democratic Party	5104	8.5	1086	60930
24043	Longueuil--Saint-Hubert	validated	Filion	Pierre-Luc	Independent	217	0.4	1086	60930
24043	Longueuil--Saint-Hubert	validated	Hébert	Réjean	Liberal	20471	34.2	1086	60930
24043	Longueuil--Saint-Hubert	validated	Nantel	Pierre	Green Party	6745	11.3	1086	60930
24043	Longueuil--Saint-Hubert	validated	Trudel	Denis	Bloc Québécois	23061	38.5	1086	60930
24044	Louis-Hébert	preliminary	Brisson	Daniel	People's Party	1008	1.6	0	61474
24044	Louis-Hébert	preliminary	Dahan	Ali	Independent	264	0.4	0	61474
24044	Louis-Hébert	preliminary	Diab	Macarena	Green Party	2407	3.9	0	61474
24044	Louis-Hébert	preliminary	Guérette	Marie-Josée	Conservative	10830	17.6	0	61474
24044	Louis-Hébert	preliminary	Hébert	Christian	Bloc Québécois	17262	28.1	0	61474
24044	Louis-Hébert	preliminary	Juneau	Jérémie	NDP-New Democratic Party	4793	7.8	0	61474
24044	Louis-Hébert	preliminary	Lightbound	Joël	Liberal	24910	40.5	0	61474
24044	Louis-Hébert	validated	Brisson	Daniel	People's Party	1016	1.6	873	62933
24044	Louis-Hébert	validated	Dahan	Ali	Independent	267	0.4	873	62933
24044	Louis-Hébert	validated	Diab	Macarena	Green Party	2466	4	873	62933
24044	Louis-Hébert	validated	Guérette	Marie-Josée	Conservative	10912	17.6	873	62933
24044	Louis-Hébert	validated	Hébert	Christian	Bloc Québécois	17375	28	873	62933
24044	Louis-Hébert	validated	Juneau	Jérémie	NDP-New Democratic Party	4884	7.9	873	62933
24044	Louis-Hébert	validated	Lightbound	Joël	Liberal	25140	40.5	873	62933
24045	Louis-Saint-Laurent	preliminary	Amram Ducharme	Colette	NDP-New Democratic Party	4281	6.6	0	64767
24045	Louis-Saint-Laurent	preliminary	Cusson	Jean-Christophe	Liberal	13509	20.9	0	64767
24045	Louis-Saint-Laurent	preliminary	Côté	Guillaume	People's Party	1542	2.4	0	64767
24045	Louis-Saint-Laurent	preliminary	Deltell	Gérard	Conservative	28735	44.4	0	64767
24045	Louis-Saint-Laurent	preliminary	Desgagnés	Jeanne-Paule	Bloc Québécois	14577	22.5	0	64767
24045	Louis-Saint-Laurent	preliminary	Riedo	Sandra Mara	Green Party	2123	3.3	0	64767
24045	Louis-Saint-Laurent	validated	Amram Ducharme	Colette	NDP-New Democratic Party	4339	6.6	1389	66950
24045	Louis-Saint-Laurent	validated	Cusson	Jean-Christophe	Liberal	13571	20.7	1389	66950
24045	Louis-Saint-Laurent	validated	Côté	Guillaume	People's Party	1543	2.4	1389	66950
24045	Louis-Saint-Laurent	validated	Deltell	Gérard	Conservative	29279	44.7	1389	66950
24045	Louis-Saint-Laurent	validated	Desgagnés	Jeanne-Paule	Bloc Québécois	14674	22.4	1389	66950
24045	Louis-Saint-Laurent	validated	Riedo	Sandra Mara	Green Party	2155	3.3	1389	66950
24046	Manicouagan	preliminary	Corriveau	François	Conservative	7718	19.3	0	39906
24046	Manicouagan	preliminary	Côté	Gabriel	People's Party	285	0.7	0	39906
24046	Manicouagan	preliminary	Gill	Marilène	Bloc Québécois	21553	54	0	39906
24046	Manicouagan	preliminary	Gélineau	Jacques	Green Party	1250	3.1	0	39906
24046	Manicouagan	preliminary	McCool	Colleen	NDP-New Democratic Party	1434	3.6	0	39906
24046	Manicouagan	preliminary	Savard	Dave	Liberal	7666	19.2	0	39906
24046	Manicouagan	validated	Corriveau	François	Conservative	7771	19.2	712	41102
24046	Manicouagan	validated	Côté	Gabriel	People's Party	283	0.7	712	41102
24046	Manicouagan	validated	Gill	Marilène	Bloc Québécois	21768	53.9	712	41102
24046	Manicouagan	validated	Gélineau	Jacques	Green Party	1293	3.2	712	41102
24046	Manicouagan	validated	McCool	Colleen	NDP-New Democratic Party	1482	3.7	712	41102
24046	Manicouagan	validated	Savard	Dave	Liberal	7793	19.3	712	41102
24047	Mégantic--L'Érable	preliminary	Berthold	Luc	Conservative	23046	49.4	0	46628
24047	Mégantic--L'Érable	preliminary	Boisvert	Mathieu	NDP-New Democratic Party	1910	4.1	0	46628
24047	Mégantic--L'Érable	preliminary	Charette	Nicole	Green Party	1210	2.6	0	46628
24047	Mégantic--L'Érable	preliminary	Corbeil	Priscilla	Bloc Québécois	11997	25.7	0	46628
24047	Mégantic--L'Érable	preliminary	Grégoire	Isabelle	Liberal	7201	15.4	0	46628
24047	Mégantic--L'Érable	preliminary	Lauzier	Marie  Claude	People's Party	800	1.7	0	46628
24047	Mégantic--L'Érable	preliminary	Paradis	Jean	Independent	214	0.5	0	46628
24047	Mégantic--L'Érable	preliminary	Roy	Damien	Parti Rhinocéros Party	250	0.5	0	46628
24047	Mégantic--L'Érable	validated	Berthold	Luc	Conservative	23392	49.2	898	48406
24047	Mégantic--L'Érable	validated	Boisvert	Mathieu	NDP-New Democratic Party	1936	4.1	898	48406
24047	Mégantic--L'Érable	validated	Charette	Nicole	Green Party	1258	2.6	898	48406
24047	Mégantic--L'Érable	validated	Corbeil	Priscilla	Bloc Québécois	12249	25.8	898	48406
24047	Mégantic--L'Érable	validated	Grégoire	Isabelle	Liberal	7388	15.6	898	48406
24047	Mégantic--L'Érable	validated	Lauzier	Marie  Claude	People's Party	812	1.7	898	48406
24047	Mégantic--L'Érable	validated	Paradis	Jean	Independent	217	0.5	898	48406
24047	Mégantic--L'Érable	validated	Roy	Damien	Parti Rhinocéros Party	256	0.5	898	48406
24048	Mirabel	preliminary	Biacchi	Pietro	Pour l'Indépendance du Québec	319	0.5	0	62708
24048	Mirabel	preliminary	Desrochers	François	Conservative	5741	9.2	0	62708
24048	Mirabel	preliminary	Marcil	Simon	Bloc Québécois	32045	51.1	0	62708
24048	Mirabel	preliminary	Montpetit	Christian	People's Party	620	1	0	62708
24048	Mirabel	preliminary	Saint-Germain	Anne-Marie	NDP-New Democratic Party	5068	8.1	0	62708
24048	Mirabel	preliminary	Tremblay	Julie	Green Party	3368	5.4	0	62708
24048	Mirabel	preliminary	Trudel	Karl	Liberal	15547	24.8	0	62708
24048	Mirabel	validated	Biacchi	Pietro	Pour l'Indépendance du Québec	332	0.5	1286	66316
24048	Mirabel	validated	Desrochers	François	Conservative	5940	9.1	1286	66316
24048	Mirabel	validated	Marcil	Simon	Bloc Québécois	33219	51.1	1286	66316
24048	Mirabel	validated	Montpetit	Christian	People's Party	641	1	1286	66316
24048	Mirabel	validated	Saint-Germain	Anne-Marie	NDP-New Democratic Party	5219	8	1286	66316
24048	Mirabel	validated	Tremblay	Julie	Green Party	3517	5.4	1286	66316
24048	Mirabel	validated	Trudel	Karl	Liberal	16162	24.9	1286	66316
24049	Montarville	preliminary	Bergeron	Stéphane	Bloc Québécois	25249	43.1	0	58629
24049	Montarville	preliminary	Lavallée	Julie	People's Party	498	0.8	0	58629
24049	Montarville	preliminary	Pelland	Jean-Charles	Green Party	2886	4.9	0	58629
24049	Montarville	preliminary	Picard	Michel	Liberal	20877	35.6	0	58629
24049	Montarville	preliminary	Sauvageau	Julie	Conservative	4108	7	0	58629
24049	Montarville	preliminary	Sellah	Djaouida	NDP-New Democratic Party	4803	8.2	0	58629
24049	Montarville	preliminary	Thibault-Vincent	Thomas	Parti Rhinocéros Party	208	0.4	0	58629
24049	Montarville	validated	Bergeron	Stéphane	Bloc Québécois	25366	42.8	742	59970
24049	Montarville	validated	Lavallée	Julie	People's Party	501	0.8	742	59970
24049	Montarville	validated	Pelland	Jean-Charles	Green Party	2967	5	742	59970
24049	Montarville	validated	Picard	Michel	Liberal	21061	35.6	742	59970
24049	Montarville	validated	Sauvageau	Julie	Conservative	4138	7	742	59970
24049	Montarville	validated	Sellah	Djaouida	NDP-New Democratic Party	4984	8.4	742	59970
24049	Montarville	validated	Thibault-Vincent	Thomas	Parti Rhinocéros Party	211	0.4	742	59970
24050	Montcalm	preliminary	Bonello-Stauch	Julian	NDP-New Democratic Party	3466	6.4	0	54529
24050	Montcalm	preliminary	Clénin	Hugo	People's Party	520	1	0	54529
24050	Montcalm	preliminary	Desroches	Gisèle	Conservative	4923	9	0	54529
24050	Montcalm	preliminary	Goyette	Mathieu	Green Party	2391	4.4	0	54529
24050	Montcalm	preliminary	Labelle	Marc	Pour l'Indépendance du Québec	417	0.8	0	54529
24050	Montcalm	preliminary	Sayegh	Isabel	Liberal	11113	20.4	0	54529
24050	Montcalm	preliminary	Thériault	Luc	Bloc Québécois	31699	58.1	0	54529
24050	Montcalm	validated	Bonello-Stauch	Julian	NDP-New Democratic Party	3514	6.4	1311	56117
24050	Montcalm	validated	Clénin	Hugo	People's Party	524	1	1311	56117
24050	Montcalm	validated	Desroches	Gisèle	Conservative	4942	9	1311	56117
24050	Montcalm	validated	Goyette	Mathieu	Green Party	2416	4.4	1311	56117
24050	Montcalm	validated	Labelle	Marc	Pour l'Indépendance du Québec	419	0.8	1311	56117
24050	Montcalm	validated	Sayegh	Isabel	Liberal	11200	20.4	1311	56117
24050	Montcalm	validated	Thériault	Luc	Bloc Québécois	31791	58	1311	56117
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	Ducharme	Denis	Green Party	1001	2	0	50000
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	Gagnon	Louis	Bloc Québécois	16121	32.2	0	50000
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	Généreux	Bernard	Conservative	20934	41.9	0	50000
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	Haché	Serge	People's Party	414	0.8	0	50000
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	Latulippe	Hugo	NDP-New Democratic Party	3397	6.8	0	50000
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	Legault d'Auteuil	Aladin	Liberal	8133	16.3	0	50000
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	validated	Ducharme	Denis	Green Party	1030	2	976	51364
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	validated	Gagnon	Louis	Bloc Québécois	16261	32.3	976	51364
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	validated	Généreux	Bernard	Conservative	20989	41.7	976	51364
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	validated	Haché	Serge	People's Party	417	0.8	976	51364
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	validated	Latulippe	Hugo	NDP-New Democratic Party	3481	6.9	976	51364
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	validated	Legault d'Auteuil	Aladin	Liberal	8210	16.3	976	51364
24052	Mount Royal	preliminary	Badra	Clément	Green Party	2271	5.3	0	42793
24052	Mount Royal	preliminary	Baland	Eric-Abel	NDP-New Democratic Party	3485	8.1	0	42793
24052	Mount Royal	preliminary	Housefather	Anthony	Liberal	24137	56.4	0	42793
24052	Mount Royal	preliminary	Johnston	Diane	ML	90	0.2	0	42793
24052	Mount Royal	preliminary	Levesque	Xavier	Bloc Québécois	1729	4	0	42793
24052	Mount Royal	preliminary	Lozoff	Zachary	People's Party	358	0.8	0	42793
24052	Mount Royal	preliminary	Tordjman	David	Conservative	10723	25.1	0	42793
24052	Mount Royal	validated	Badra	Clément	Green Party	2389	5.5	583	44262
24052	Mount Royal	validated	Baland	Eric-Abel	NDP-New Democratic Party	3609	8.3	583	44262
24052	Mount Royal	validated	Housefather	Anthony	Liberal	24590	56.3	583	44262
24052	Mount Royal	validated	Johnston	Diane	ML	85	0.2	583	44262
24052	Mount Royal	validated	Levesque	Xavier	Bloc Québécois	1757	4	583	44262
24052	Mount Royal	validated	Lozoff	Zachary	People's Party	362	0.8	583	44262
24052	Mount Royal	validated	Tordjman	David	Conservative	10887	24.9	583	44262
24053	Notre-Dame-de-Grâce--Westmount	preliminary	Drabkin	Neil	Conservative	5536	11.4	0	48355
24053	Notre-Dame-de-Grâce--Westmount	preliminary	Garneau	Marc	Liberal	27217	56.3	0	48355
24053	Notre-Dame-de-Grâce--Westmount	preliminary	Gertler	Franklin	NDP-New Democratic Party	7456	15.4	0	48355
24053	Notre-Dame-de-Grâce--Westmount	preliminary	Green	Robert	Green Party	5125	10.6	0	48355
24053	Notre-Dame-de-Grâce--Westmount	preliminary	Hoffman	Rachel	ML	63	0.1	0	48355
24053	Notre-Dame-de-Grâce--Westmount	preliminary	Jetté	Jennifer	Bloc Québécois	2309	4.8	0	48355
24053	Notre-Dame-de-Grâce--Westmount	preliminary	Thomas	Jeffery A.	Independent	99	0.2	0	48355
24053	Notre-Dame-de-Grâce--Westmount	preliminary	Valiquette	André	People's Party	550	1.1	0	48355
24053	Notre-Dame-de-Grâce--Westmount	validated	Drabkin	Neil	Conservative	5759	11.4	446	50767
24053	Notre-Dame-de-Grâce--Westmount	validated	Garneau	Marc	Liberal	28323	56.3	446	50767
24053	Notre-Dame-de-Grâce--Westmount	validated	Gertler	Franklin	NDP-New Democratic Party	7753	15.4	446	50767
24053	Notre-Dame-de-Grâce--Westmount	validated	Green	Robert	Green Party	5397	10.7	446	50767
24053	Notre-Dame-de-Grâce--Westmount	validated	Hoffman	Rachel	ML	67	0.1	446	50767
24053	Notre-Dame-de-Grâce--Westmount	validated	Jetté	Jennifer	Bloc Québécois	2359	4.7	446	50767
24053	Notre-Dame-de-Grâce--Westmount	validated	Thomas	Jeffery A.	Independent	98	0.2	446	50767
24053	Notre-Dame-de-Grâce--Westmount	validated	Valiquette	André	People's Party	565	1.1	446	50767
24054	Outremont	preliminary	Bendayan	Rachel	Liberal	18419	47	0	39201
24054	Outremont	preliminary	Clarke	Andrea	NDP-New Democratic Party	7808	19.9	0	39201
24054	Outremont	preliminary	Green	Daniel	Green Party	4743	12.1	0	39201
24054	Outremont	preliminary	Grimard	Célia	Bloc Québécois	5562	14.2	0	39201
24054	Outremont	preliminary	Hiemstra	Mark John	Parti Rhinocéros Party	151	0.4	0	39201
24054	Outremont	preliminary	Louras	Jasmine	Conservative	2158	5.5	0	39201
24054	Outremont	preliminary	Lévesque	Sabin	People's Party	360	0.9	0	39201
24054	Outremont	validated	Bendayan	Rachel	Liberal	19148	46.2	455	41912
24054	Outremont	validated	Clarke	Andrea	NDP-New Democratic Party	8319	20.1	455	41912
24054	Outremont	validated	Green	Daniel	Green Party	5018	12.1	455	41912
24054	Outremont	validated	Grimard	Célia	Bloc Québécois	5741	13.8	455	41912
24054	Outremont	validated	Hiemstra	Mark John	Parti Rhinocéros Party	155	0.4	455	41912
24054	Outremont	validated	Louras	Jasmine	Conservative	2707	6.5	455	41912
24054	Outremont	validated	Lévesque	Sabin	People's Party	369	0.9	455	41912
24055	Papineau	preliminary	Cacereco Berthiaume	Jean-Patrick	Parti Rhinocéros Party	334	0.7	0	48451
24055	Papineau	preliminary	Gagnon	Christian	Bloc Québécois	7722	15.9	0	48451
24055	Papineau	preliminary	Lefebvre	Susanne	Christian Heritage Party	184	0.4	0	48451
24055	Papineau	preliminary	Lupien	Luc	No Affiliation	73	0.2	0	48451
24055	Papineau	preliminary	Magnan	Alain	Independent	73	0.2	0	48451
24055	Papineau	preliminary	Paré	Christine	NDP-New Democratic Party	9135	18.9	0	48451
24055	Papineau	preliminary	Penner	Steve	No Affiliation	54	0.1	0	48451
24055	Papineau	preliminary	Sibthorpe	Mark	People's Party	311	0.6	0	48451
24055	Papineau	preliminary	Trudeau	Justin	Liberal	24797	51.2	0	48451
24055	Papineau	preliminary	Vazquez	Juan	Green Party	3673	7.6	0	48451
24055	Papineau	preliminary	Veilleux	Sophie	Conservative	2095	4.3	0	48451
24055	Papineau	validated	Cacereco Berthiaume	Jean-Patrick	Parti Rhinocéros Party	363	0.7	938	51719
24055	Papineau	validated	Gagnon	Christian	Bloc Québécois	8124	16	938	51719
24055	Papineau	validated	Lefebvre	Susanne	Christian Heritage Party	186	0.4	938	51719
24055	Papineau	validated	Lupien	Luc	No Affiliation	75	0.1	938	51719
24055	Papineau	validated	Magnan	Alain	Independent	76	0.1	938	51719
24055	Papineau	validated	Paré	Christine	NDP-New Democratic Party	9748	19.2	938	51719
24055	Papineau	validated	Penner	Steve	No Affiliation	34	0.1	938	51719
24055	Papineau	validated	Sibthorpe	Mark	People's Party	322	0.6	938	51719
24055	Papineau	validated	Trudeau	Justin	Liberal	25957	51.1	938	51719
24055	Papineau	validated	Vazquez	Juan	Green Party	3741	7.4	938	51719
24055	Papineau	validated	Veilleux	Sophie	Conservative	2155	4.2	938	51719
24056	Pierrefonds--Dollard	preliminary	El-Khoury	Bruno Ibrahim	NDP-New Democratic Party	5537	10.1	0	54699
24056	Pierrefonds--Dollard	preliminary	Henri	Edline	Bloc Québécois	4450	8.1	0	54699
24056	Pierrefonds--Dollard	preliminary	Ishak	Mariam	Conservative	9682	17.7	0	54699
24056	Pierrefonds--Dollard	preliminary	Khan	Shahid	Independent	242	0.4	0	54699
24056	Pierrefonds--Dollard	preliminary	Mintz	Lisa	Green Party	2790	5.1	0	54699
24056	Pierrefonds--Dollard	preliminary	Plante	Martin	Independent	392	0.7	0	54699
24056	Pierrefonds--Dollard	preliminary	Weishar	Lee	People's Party	701	1.3	0	54699
24056	Pierrefonds--Dollard	preliminary	Zuberi	Sameer	Liberal	30905	56.5	0	54699
24056	Pierrefonds--Dollard	validated	El-Khoury	Bruno Ibrahim	NDP-New Democratic Party	5687	10.3	682	56153
24056	Pierrefonds--Dollard	validated	Henri	Edline	Bloc Québécois	4469	8.1	682	56153
24056	Pierrefonds--Dollard	validated	Ishak	Mariam	Conservative	9797	17.7	682	56153
24056	Pierrefonds--Dollard	validated	Khan	Shahid	Independent	242	0.4	682	56153
24056	Pierrefonds--Dollard	validated	Mintz	Lisa	Green Party	2866	5.2	682	56153
24056	Pierrefonds--Dollard	validated	Plante	Martin	Independent	394	0.7	682	56153
24056	Pierrefonds--Dollard	validated	Weishar	Lee	People's Party	711	1.3	682	56153
24056	Pierrefonds--Dollard	validated	Zuberi	Sameer	Liberal	31305	56.4	682	56153
24057	Pontiac	preliminary	Amos	William	Liberal	29759	48.9	0	60915
24057	Pontiac	preliminary	Belec	Mario	People's Party	764	1.3	0	60915
24057	Pontiac	preliminary	Bertrand	Claude	Green Party	3631	6	0	60915
24057	Pontiac	preliminary	Blackburn	Dave	Conservative	10298	16.9	0	60915
24057	Pontiac	preliminary	Carreiro-Benoit	Jonathan	Bloc Québécois	9851	16.2	0	60915
24057	Pontiac	preliminary	Giroux	Denise	NDP-New Democratic Party	6364	10.4	0	60915
24057	Pontiac	preliminary	Lang	Louis	ML	51	0.1	0	60915
24057	Pontiac	preliminary	Stewart	Shawn	VCP	197	0.3	0	60915
24057	Pontiac	validated	Amos	William	Liberal	30217	48.9	661	62508
24057	Pontiac	validated	Belec	Mario	People's Party	775	1.3	661	62508
24057	Pontiac	validated	Bertrand	Claude	Green Party	3762	6.1	661	62508
24057	Pontiac	validated	Blackburn	Dave	Conservative	10416	16.8	661	62508
24057	Pontiac	validated	Carreiro-Benoit	Jonathan	Bloc Québécois	9929	16.1	661	62508
24057	Pontiac	validated	Giroux	Denise	NDP-New Democratic Party	6503	10.5	661	62508
24057	Pontiac	validated	Lang	Louis	ML	51	0.1	661	62508
24057	Pontiac	validated	Stewart	Shawn	VCP	194	0.3	661	62508
24058	Portneuf--Jacques-Cartier	preliminary	Abbatiello	Luca	People's Party	1925	3	0	63644
24058	Portneuf--Jacques-Cartier	preliminary	Bonsaint	Mathieu	Bloc Québécois	15440	24.3	0	63644
24058	Portneuf--Jacques-Cartier	preliminary	Gagnon	David-Roger	NDP-New Democratic Party	3657	5.7	0	63644
24058	Portneuf--Jacques-Cartier	preliminary	Gaudet	Marie-Claude	Green Party	2456	3.9	0	63644
24058	Portneuf--Jacques-Cartier	preliminary	Godin	Joël	Conservative	27524	43.2	0	63644
24058	Portneuf--Jacques-Cartier	preliminary	Talbot	Annie	Liberal	12642	19.9	0	63644
24058	Portneuf--Jacques-Cartier	validated	Abbatiello	Luca	People's Party	1915	3	1251	65925
24058	Portneuf--Jacques-Cartier	validated	Bonsaint	Mathieu	Bloc Québécois	15707	24.3	1251	65925
24058	Portneuf--Jacques-Cartier	validated	Gagnon	David-Roger	NDP-New Democratic Party	3758	5.8	1251	65925
24058	Portneuf--Jacques-Cartier	validated	Gaudet	Marie-Claude	Green Party	2308	3.6	1251	65925
24058	Portneuf--Jacques-Cartier	validated	Godin	Joël	Conservative	28110	43.5	1251	65925
24058	Portneuf--Jacques-Cartier	validated	Talbot	Annie	Liberal	12876	19.9	1251	65925
24059	Québec	preliminary	Boutin	Bianca	Conservative	8175	15	0	54355
24059	Québec	preliminary	Bureau	Tommy	NDP-New Democratic Party	6210	11.4	0	54355
24059	Québec	preliminary	CoRhino	Sébastien	Parti Rhinocéros Party	349	0.6	0	54355
24059	Québec	preliminary	Dabiré	Bruno	People's Party	674	1.2	0	54355
24059	Québec	preliminary	Duclos	Jean-Yves	Liberal	18047	33.2	0	54355
24059	Québec	preliminary	Gagnon	Christiane	Bloc Québécois	17832	32.8	0	54355
24059	Québec	preliminary	Joli-Coeur	Luc	Green Party	2949	5.4	0	54355
24059	Québec	preliminary	Paquin	Luc	Pour l'Indépendance du Québec	119	0.2	0	54355
24059	Québec	validated	Boutin	Bianca	Conservative	8118	15	1051	55249
24059	Québec	validated	Bureau	Tommy	NDP-New Democratic Party	6220	11.5	1051	55249
24059	Québec	validated	CoRhino	Sébastien	Parti Rhinocéros Party	349	0.6	1051	55249
24059	Québec	validated	Dabiré	Bruno	People's Party	674	1.2	1051	55249
24059	Québec	validated	Duclos	Jean-Yves	Liberal	18047	33.3	1051	55249
24059	Québec	validated	Gagnon	Christiane	Bloc Québécois	17722	32.7	1051	55249
24059	Québec	validated	Joli-Coeur	Luc	Green Party	2949	5.4	1051	55249
24059	Québec	validated	Paquin	Luc	Pour l'Indépendance du Québec	119	0.2	1051	55249
24060	Repentigny	preliminary	Beauregard	Diane	Green Party	2240	3.4	0	64942
24060	Repentigny	preliminary	Benslimane	Meryem	NDP-New Democratic Party	4361	6.7	0	64942
24060	Repentigny	preliminary	Boucher Granger	Micheline	Pour l'Indépendance du Québec	347	0.5	0	64942
24060	Repentigny	preliminary	Branchaud	Pierre	Conservative	4851	7.5	0	64942
24060	Repentigny	preliminary	Larose	Josée	Liberal	17976	27.7	0	64942
24060	Repentigny	preliminary	Pauzé	Monique	Bloc Québécois	34644	53.3	0	64942
24060	Repentigny	preliminary	Saint-Laurent	Samuel	People's Party	523	0.8	0	64942
24060	Repentigny	validated	Beauregard	Diane	Green Party	2289	3.5	1316	66772
24060	Repentigny	validated	Benslimane	Meryem	NDP-New Democratic Party	4470	6.8	1316	66772
24060	Repentigny	validated	Boucher Granger	Micheline	Pour l'Indépendance du Québec	347	0.5	1316	66772
24060	Repentigny	validated	Branchaud	Pierre	Conservative	4878	7.5	1316	66772
24060	Repentigny	validated	Larose	Josée	Liberal	18111	27.7	1316	66772
24060	Repentigny	validated	Pauzé	Monique	Bloc Québécois	34837	53.2	1316	66772
24060	Repentigny	validated	Saint-Laurent	Samuel	People's Party	524	0.8	1316	66772
24061	Richmond--Arthabaska	preliminary	Guérin	Olivier	NDP-New Democratic Party	2813	4.8	0	58495
24061	Richmond--Arthabaska	preliminary	Horth-Lepage	Laura	Green Party	3073	5.3	0	58495
24061	Richmond--Arthabaska	preliminary	Landry	Jean	People's Party	680	1.2	0	58495
24061	Richmond--Arthabaska	preliminary	Nolin	Olivier	Bloc Québécois	16475	28.2	0	58495
24061	Richmond--Arthabaska	preliminary	Patry	Marc	Liberal	8878	15.2	0	58495
24061	Richmond--Arthabaska	preliminary	Rayes	Alain	Conservative	26576	45.4	0	58495
24061	Richmond--Arthabaska	validated	Guérin	Olivier	NDP-New Democratic Party	2864	4.9	1077	59715
24061	Richmond--Arthabaska	validated	Horth-Lepage	Laura	Green Party	3133	5.3	1077	59715
24061	Richmond--Arthabaska	validated	Landry	Jean	People's Party	681	1.2	1077	59715
24061	Richmond--Arthabaska	validated	Nolin	Olivier	Bloc Québécois	16539	28.2	1077	59715
24061	Richmond--Arthabaska	validated	Patry	Marc	Liberal	8868	15.1	1077	59715
24061	Richmond--Arthabaska	validated	Rayes	Alain	Conservative	26553	45.3	1077	59715
24062	Rivière-des-Mille-Îles	preliminary	Borgers	Ceylan	Green Party	3043	5.3	0	57780
24062	Rivière-des-Mille-Îles	preliminary	Desilets	Luc	Bloc Québécois	23521	40.7	0	57780
24062	Rivière-des-Mille-Îles	preliminary	Hakizimana	Joseph	NDP-New Democratic Party	4933	8.5	0	57780
24062	Rivière-des-Mille-Îles	preliminary	Lapointe	Linda	Liberal	20773	36	0	57780
24062	Rivière-des-Mille-Îles	preliminary	Mikhael	Maikel	Conservative	4668	8.1	0	57780
24062	Rivière-des-Mille-Îles	preliminary	Roker Jr	Hans	People's Party	842	1.5	0	57780
24062	Rivière-des-Mille-Îles	validated	Borgers	Ceylan	Green Party	3015	5.2	1090	59274
24062	Rivière-des-Mille-Îles	validated	Desilets	Luc	Bloc Québécois	23629	40.6	1090	59274
24062	Rivière-des-Mille-Îles	validated	Hakizimana	Joseph	NDP-New Democratic Party	5002	8.6	1090	59274
24062	Rivière-des-Mille-Îles	validated	Lapointe	Linda	Liberal	21009	36.1	1090	59274
24062	Rivière-des-Mille-Îles	validated	Mikhael	Maikel	Conservative	4684	8.1	1090	59274
24062	Rivière-des-Mille-Îles	validated	Roker Jr	Hans	People's Party	845	1.5	1090	59274
24063	Rivière-du-Nord	preliminary	Fortin	Rhéal	Bloc Québécois	30620	52.3	0	58578
24063	Rivière-du-Nord	preliminary	Fréchette	Sylvie	Conservative	6891	11.8	0	58578
24063	Rivière-du-Nord	preliminary	Gagnon	Florence	Liberal	12954	22.1	0	58578
24063	Rivière-du-Nord	preliminary	Leckman	Joey	Green Party	3293	5.6	0	58578
24063	Rivière-du-Nord	preliminary	Michaud	Normand	People's Party	397	0.7	0	58578
24063	Rivière-du-Nord	preliminary	Ouellette	Myriam	NDP-New Democratic Party	4077	7	0	58578
24063	Rivière-du-Nord	preliminary	Riqueur-Lainé	Nicolas	Pour l'Indépendance du Québec	221	0.4	0	58578
24063	Rivière-du-Nord	preliminary	St-Gelais	Lucie	Independent	125	0.2	0	58578
24063	Rivière-du-Nord	validated	Fortin	Rhéal	Bloc Québécois	31281	52	1206	61307
24063	Rivière-du-Nord	validated	Fréchette	Sylvie	Conservative	7120	11.8	1206	61307
24063	Rivière-du-Nord	validated	Gagnon	Florence	Liberal	13402	22.3	1206	61307
24063	Rivière-du-Nord	validated	Leckman	Joey	Green Party	3345	5.6	1206	61307
