district,name,votes,percent_votes
11002,Joe Byrne NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4897,23.1
11002,Ron MacMillan Conservative/Conservateur,3136,14.8
11002,Becka Viau Green Party/Parti Vert,1222,5.8
11003,Bobby Morrissey Liberal/Libéral,10521,49.3
11003,Gail Shea ** Conservative/Conservateur,6185,29
11003,Herb Dickieson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4097,19.2
11003,Nils Ling Green Party/Parti Vert,559,2.6
11004,Wayne Easter ** Liberal/Libéral,13950,62.1
11004,Stephen Stewart Conservative/Conservateur,3947,17.6
11004,Leah-Jane Hayward NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2509,11.2
11004,Lynne Lund Green Party/Parti Vert,2066,9.2
12001,Rodger Cuzner ** Liberal/Libéral,32163,74.4
12001,Adam Daniel Rodgers Conservative/Conservateur,6246,14.4
12001,Michelle Smith NDP-New Democratic Party/NPD-Nouveau Parti démocratique,3547,8.2
12001,Maria Goretti Coady Green Party/Parti Vert,1281,3
12002,Sean Fraser Liberal/Libéral,25909,58.5
12002,Fred DeLorey Conservative/Conservateur,11418,25.8
12002,Ross Landry NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4532,10.2
12002,David Hachey Green Party/Parti Vert,1834,4.1
12002,Alexander J. MacKenzie Independent/Indépendant,570,1.3
12003,Bill Casey Liberal/Libéral,29527,63.7
12003,Scott Armstrong ** Conservative/Conservateur,12257,26.5
12003,Wendy Robinson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2647,5.7
12003,Jason Matthew Blanch Green Party/Parti Vert,1650,3.6
12003,Kenneth Jackson Independent/Indépendant,181,0.4
12003,Richard Trueman Plett Independent/Indépendant,70,0.2
12004,Darren Fisher Liberal/Libéral,30407,58.2
12004,Robert Chisholm ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12757,24.4
12004,Jason Cole Conservative/Conservateur,7331,14
12004,Brynn Nheiley Green Party/Parti Vert,1775,3.4
12005,Andy Fillmore Liberal/Libéral,27431,51.7
12005,Megan Leslie ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,19162,36.1
12005,Irvine Carvery Conservative/Conservateur,4564,8.6
12005,Thomas Trappenberg Green Party/Parti Vert,1745,3.3
12005,Allan Bezanson Marxist-Leninist/Marxiste-Léniniste,130,0.2
12006,Geoff Regan ** Liberal/Libéral,34377,68.6
12006,Michael McGinnis Conservative/Conservateur,7837,15.6
12006,Joanne Hussey NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5894,11.8
12006,Richard Henryk Zurawski Green Party/Parti Vert,1971,3.9
12007,Scott Brison ** Liberal/Libéral,33026,70.7
12007,David Morse Conservative/Conservateur,8677,18.6
12007,Hugh Curry NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2998,6.4
12007,Will Cooper Green Party/Parti Vert,1569,3.4
12007,Megan Brown-Hodges Rhinoceros/Rhinocéros,184,0.4
12007,Edd Twohig Independent/Indépendant,132,0.3
12007,Clifford James Williams Independent/Indépendant,100,0.2
12008,Darrell Samson Liberal/Libéral,23161,48
12008,Peter Stoffer ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,16613,34.4
12008,Robert Thomas Strickland Conservative/Conservateur,7186,14.9
12008,Mike Montgomery Green Party/Parti Vert,1341,2.8
12009,Bernadette Jordan Liberal/Libéral,30045,56.9
12009,Richard Clark Conservative/Conservateur,11905,22.6
12009,Alex Godbold NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8883,16.8
12009,Richard Biggar Green Party/Parti Vert,1534,2.9
12009,Trevor Bruhm Independent/Indépendant,257,0.5
12009,Ryan Barry Communist/Communiste,151,0.3
12010,Mark Eyking ** Liberal/Libéral,29995,73.2
12010,Monika Dutt NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5351,13.1
12010,John Douglas Chiasson Conservative/Conservateur,4360,10.6
12010,Adrianna MacKinnon Green Party/Parti Vert,1026,2.5
12010,Wayne James Hiscock Libertarian/Libertarien,242,0.6
12011,Colin Fraser Liberal/Libéral,28775,63
12011,Arnold LeBlanc Conservative/Conservateur,11916,26.1
12011,Greg Foster NDP-New Democratic Party/NPD-Nouveau Parti démocratique,3084,6.8
12011,Clark Walton Green Party/Parti Vert,1904,4.2
13001,Serge Cormier Liberal/Libéral,25845,50.7
13001,Jason Godin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,20079,39.4
13001,Riba Girouard-Riordon Conservative/Conservateur,3852,7.6
13001,Dominique Breau Green Party/Parti Vert,1187,2.3
13002,Dominic LeBlanc ** Liberal/Libéral,36534,69
13002,Hélène Boudreau NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8009,15.1
13002,Ann Bastarache Conservative/Conservateur,6017,11.4
13002,Kevin King Green Party/Parti Vert,2376,4.5
13003,Matt DeCourcey Liberal/Libéral,23016,49.3
13003,Keith Ashfield ** Conservative/Conservateur,13280,28.4
13003,Mary Lou Babineau Green Party/Parti Vert,5804,12.4
13003,Sharon Scott-Levesque NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4622,9.9
13004,Alaina Lockhart Liberal/Libéral,19136,40.9
13004,Rob Moore ** Conservative/Conservateur,17361,37.1
13004,Jennifer McKenzie NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8204,17.5
13004,Stephanie Coburn Green Party/Parti Vert,1823,3.9
13004,David Raymond Amos Independent/Indépendant,296,0.6
13005,René Arseneault Liberal/Libéral,20778,55.7
13005,Rosaire L'Italien NDP-New Democratic Party/NPD-Nouveau Parti démocratique,9670,25.9
13005,Bernard Valcourt ** Conservative/Conservateur,6151,16.5
13005,Françoise Aubin Green Party/Parti Vert,707,1.9
13006,Pat Finnigan Liberal/Libéral,17202,47.3
13006,Tilly O'Neill-Gordon ** Conservative/Conservateur,12476,34.3
13006,Patrick Colford NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5588,15.4
13006,Matthew Ian Clark Green Party/Parti Vert,1098,3
13007,Ginette Petitpas Taylor Liberal/Libéral,30054,57.8
13007,Robert Goguen ** Conservative/Conservateur,11168,21.5
13007,Luc LeBlanc NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8420,16.2
13007,Luc Melanson Green Party/Parti Vert,2399,4.6
13008,Karen Ludwig Liberal/Libéral,16656,43.9
13008,John Williamson ** Conservative/Conservateur,14625,38.6
13008,Andrew Graham NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4768,12.6
13008,Gayla MacIntosh Green Party/Parti Vert,1877,4.9
13009,Wayne Long Liberal/Libéral,20634,48.8
13009,Rodney Weston ** Conservative/Conservateur,12915,30.5
13009,AJ Griffin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7411,17.5
13009,Sharon Murphy Green Party/Parti Vert,1321,3.1
13010,TJ Harvey Liberal/Libéral,17909,46.6
13010,Richard Bragdon Conservative/Conservateur,14225,37
13010,Robert Kitchen NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4334,11.3
13010,Terry Wishart Green Party/Parti Vert,1959,5.1
24001,Romeo Saganash ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12778,37
24001,Pierre Dufour Liberal/Libéral,11094,32.1
24001,Luc Ferland Bloc Québécois/Bloc Québécois,6398,18.5
24001,Steven Hébert Conservative/Conservateur,3211,9.3
24001,Patrick Benoît Green Party/Parti Vert,779,2.3
24001,Mario Gagnon Rhinoceros/Rhinocéros,258,0.7
24002,Christine Moore ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,20636,41.5
24002,Claude Thibault Liberal/Libéral,14733,29.6
24002,Yvon Moreau Bloc Québécois/Bloc Québécois,9651,19.4
24002,Benoit Fortin Conservative/Conservateur,3425,6.9
24002,Aline Bégin Green Party/Parti Vert,859,1.7
24002,Pascal Le Fou Gélinas Rhinoceros/Rhinocéros,425,0.9
24003,Mélanie Joly Liberal/Libéral,26026,46.8
24003,Maria Mourani ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,16684,30
24003,Nicolas Bourdon Bloc Québécois/Bloc Québécois,7346,13.2
24003,Wiliam Moughrabi Conservative/Conservateur,4051,7.3
24003,Gilles Mercier Green Party/Parti Vert,1175,2.1
24003,Catherine Gascon-David Rhinoceros/Rhinocéros,285,0.5
24004,Angelo Iacono Liberal/Libéral,24557,44.5
24004,Rosane Doré Lefebvre ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,13225,24
24004,Daniel St-Hilaire Bloc Québécois/Bloc Québécois,9836,17.8
24004,Gabriel Purcarus Conservative/Conservateur,6259,11.3
24004,Lynda Briguene Green Party/Parti Vert,1089,2
24004,Renata Isopo Independent/Indépendant,203,0.4
24005,Stéphane Lauzon Liberal/Libéral,22093,43.3
24005,Chantal Crête NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12650,24.8
24005,Jonathan Beauchamp Bloc Québécois/Bloc Québécois,9525,18.7
24005,Maxime Hupé-Labelle Conservative/Conservateur,5680,11.1
24005,Audrey Lamarche Green Party/Parti Vert,1118,2.2
24006,Rémi Massé Liberal/Libéral,14378,39.5
24006,Kédina Fleury-Samson Bloc Québécois/Bloc Québécois,7641,21
24006,Joël Charest NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7340,20.2
24006,Jean-François Fortin ** Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,4229,11.6
24006,André Savoie Conservative/Conservateur,2228,6.1
24006,Sherri Springle Green Party/Parti Vert,365,1
24006,Éric Normand Rhinoceros/Rhinocéros,175,0.5
24007,Maxime Bernier ** Conservative/Conservateur,32910,58.9
24007,Adam Veilleux Liberal/Libéral,12442,22.3
24007,Daniel Royer NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5443,9.7
24007,Stéphane Trudel Bloc Québécois/Bloc Québécois,4144,7.4
24007,Céline Brown MacDonald Green Party/Parti Vert,943,1.7
24020,Sylvie Boucher Conservative/Conservateur,16903,33.5
24020,Jean-Roger Vigneau Liberal/Libéral,13556,26.9
24020,Sébastien Dufour Bloc Québécois/Bloc Québécois,9650,19.1
24020,Jonathan Tremblay ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,9306,18.4
24020,Patrick Kerr Green Party/Parti Vert,859,1.7
24020,Mario Desjardins Pelchat Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,182,0.4
24008,Alupa Clarke Conservative/Conservateur,15461,30.6
24008,Raymond Côté ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12881,25.5
24008,Antoine Bujold Liberal/Libéral,12854,25.4
24008,Doni Berberi Bloc Québécois/Bloc Québécois,7467,14.8
24008,Dalila Elhak Green Party/Parti Vert,1220,2.4
24008,Francis Bedard Libertarian/Libertarien,423,0.8
24008,Claude Moreau Marxist-Leninist/Marxiste-Léniniste,128,0.3
24008,Bladimir Laborit Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,124,0.2
24009,Louis Plamondon ** Bloc Québécois/Bloc Québécois,20871,40
24009,Claude Carpentier Liberal/Libéral,12666,24.3
24009,Nicolas Tabah NDP-New Democratic Party/NPD-Nouveau Parti démocratique,11531,22.1
24009,Yves Laberge Conservative/Conservateur,5955,11.4
24009,Corina Bastiani Green Party/Parti Vert,1182,2.3
24010,Steven Blaney ** Conservative/Conservateur,31872,50.9
24010,Jacques Turgeon Liberal/Libéral,12961,20.7
24010,Jean-Luc Daigle NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8516,13.6
24010,Antoine Dubé Bloc Québécois/Bloc Québécois,7217,11.5
24010,André Bélisle Green Party/Parti Vert,2032,3.2
24011,Matthew Dubé ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,20641,31.1
24011,Karine Desjardins Liberal/Libéral,19494,29.3
24011,Yves Lessard Bloc Québécois/Bloc Québécois,18387,27.7
24011,Claude Chalhoub Conservative/Conservateur,6173,9.3
24011,Fodé Kerfalla Yansané Green Party/Parti Vert,1498,2.3
24011,Michael Maher Libertarian/Libertarien,245,0.4
24012,Ruth Ellen Brosseau ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,22942,42.2
24012,Yves Perron Bloc Québécois/Bloc Québécois,14037,25.8
24012,Pierre Destrempes Liberal/Libéral,11032,20.3
24012,Marianne Foucrault Conservative/Conservateur,5548,10.2
24012,Cate Burton Green Party/Parti Vert,847,1.6
24015,Emmanuel Dubourg ** Liberal/Libéral,22234,54.1
24015,Gilles Léveillé Bloc Québécois/Bloc Québécois,7049,17.1
24015,Dolmine Laguerre NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6144,14.9
24015,Jason Potasso-Justino Conservative/Conservateur,3819,9.3
24015,Maxime Charron Green Party/Parti Vert,886,2.2
24015,Julie Demers Independent/Indépendant,669,1.6
24015,Claude Brunelle Marxist-Leninist/Marxiste-Léniniste,229,0.6
24015,Jean-Marie Floriant Ndzana Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,99,0.2
24016,Denis Paradis Liberal/Libéral,25744,43.9
24016,Catherine Lusson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,14383,24.5
24016,Patrick Melchior Bloc Québécois/Bloc Québécois,10252,17.5
24016,Charles Poulin Conservative/Conservateur,6724,11.5
24016,Cindy Moynan Green Party/Parti Vert,1377,2.3
24016,Patrick Paine Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,195,0.3
24017,Alexandra Mendès Liberal/Libéral,28818,50.3
24017,Hoang Mai ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,14075,24.6
24017,Qais Hamidi Conservative/Conservateur,7215,12.6
24017,Suzanne Lachance Bloc Québécois/Bloc Québécois,6071,10.6
24017,Fang Hu Green Party/Parti Vert,1081,1.9
24019,Pierre Paul-Hus Conservative/Conservateur,24608,42.2
24019,Jean Côté Liberal/Libéral,13525,23.2
24019,Anne-Marie Day ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,11690,20.1
24019,Marc Antoine Turmel Bloc Québécois/Bloc Québécois,7177,12.3
24019,Nathalie Baudet Green Party/Parti Vert,1256,2.2
24021,Brenda Shanahan Liberal/Libéral,20245,39.1
24021,Sophie Stanké Bloc Québécois/Bloc Québécois,12615,24.4
24021,Sylvain Chicoine ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,11986,23.1
24021,Philippe St-Pierre Conservative/Conservateur,5805,11.2
24021,Jency Mercier Green Party/Parti Vert,982,1.9
24021,Linda Sullivan Marxist-Leninist/Marxiste-Léniniste,149,0.3
24022,Denis Lemieux Liberal/Libéral,13619,31.1
24022,Dany Morin ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,13019,29.7
24022,Élise Gauthier Bloc Québécois/Bloc Québécois,8990,20.5
24022,Caroline Ste-Marie Conservative/Conservateur,7270,16.6
24022,Dany St-Gelais Green Party/Parti Vert,907,2.1
24023,Marie-Claude Bibeau Liberal/Libéral,20582,36.9
24023,Jean Rousseau ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,15300,27.4
24023,France Bonsant Bloc Québécois/Bloc Québécois,11551,20.7
24023,Gustavo Labrador Conservative/Conservateur,6978,12.5
24023,Korie Marshall Green Party/Parti Vert,1085,1.9
24023,Kévin Côté Rhinoceros/Rhinocéros,315,0.6
24024,Anju Dhillon Liberal/Libéral,29974,54.9
24024,Isabelle Morin ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,11769,21.6
24024,Daniela Chivu Conservative/Conservateur,6049,11.1
24024,Jean-Frédéric Vaudry Bloc Québécois/Bloc Québécois,5338,9.8
24024,Vincent J. Carbonneau Green Party/Parti Vert,1245,2.3
24024,Soulèye Ndiaye Independent/Indépendant,230,0.4
24025,François Choquette ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,15833,30.5
24025,Pierre Côté Liberal/Libéral,13793,26.5
24025,Diane Bourgeois Bloc Québécois/Bloc Québécois,11862,22.8
24025,Pascale Déry Conservative/Conservateur,9221,17.7
24025,Émile Coderre Green Party/Parti Vert,1270,2.4
24026,Diane Lebouthillier Liberal/Libéral,15345,38.7
24026,Philip Toone ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12885,32.5
24026,Nicolas Roussy Bloc Québécois/Bloc Québécois,8289,20.9
24026,Jean-Pierre Pigeon Conservative/Conservateur,2398,6.1
24026,Jim Morrison Green Party/Parti Vert,400,1
24026,Max Boudreau Rhinoceros/Rhinocéros,300,0.8
24027,Steven MacKinnon Liberal/Libéral,31076,53.8
24027,Françoise Boivin ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,15352,26.6
24027,Philippe Boily Bloc Québécois/Bloc Québécois,5455,9.4
24027,Luc Angers Conservative/Conservateur,4733,8.2
24027,Guy Dostaler Green Party/Parti Vert,942,1.6
24027,Guy J. Bellavance Independent/Indépendant,148,0.3
24027,Pierre Soublière Marxist-Leninist/Marxiste-Léniniste,94,0.2
24028,Marjolaine Boutin-Sweet ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,16034,30.9
24028,Marwah Rizqy Liberal/Libéral,15534,29.9
24028,Simon Marchand Bloc Québécois/Bloc Québécois,14389,27.7
24028,Alexandre Dang Conservative/Conservateur,3555,6.8
24028,Anne-Marie Saint-Cerny Green Party/Parti Vert,1654,3.2
24028,Nicolas Lemay Rhinoceros/Rhinocéros,411,0.8
24028,Marianne Breton Fontaine Communist/Communiste,179,0.3
24028,Christine Dandenault Marxist-Leninist/Marxiste-Léniniste,148,0.3
24029,Pablo Rodriguez Liberal/Libéral,29211,56.5
24029,Paulina Ayala ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8478,16.4
24029,Audrey Beauséjour Bloc Québécois/Bloc Québécois,6680,12.9
24029,Guy Croteau Conservative/Conservateur,6226,12.1
24029,Angela Budilean Green Party/Parti Vert,814,1.6
24029,Dayana Dejean Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,168,0.3
24029,Yves Le Seigle Marxist-Leninist/Marxiste-Léniniste,81,0.2
24030,Greg Fergus Liberal/Libéral,28478,51.4
24030,Nycole Turmel ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,17472,31.5
24030,Étienne Boulrice Conservative/Conservateur,4278,7.7
24030,Maude Chouinard-Boucher Bloc Québécois/Bloc Québécois,3625,6.5
24030,Roger Fleury Green Party/Parti Vert,1035,1.9
24030,Sean J. Mulligan Christian Heritage Party/Parti de l'Héritage Chrétien,291,0.5
24030,Luc Desjardins Independent/Indépendant,160,0.3
24030,Gabriel Girard-Bernier Marxist-Leninist/Marxiste-Léniniste,101,0.2
24031,Gabriel Ste-Marie Bloc Québécois/Bloc Québécois,18875,33.3
24031,Michel Bourgeois Liberal/Libéral,15995,28.2
24031,Danielle Landreville NDP-New Democratic Party/NPD-Nouveau Parti démocratique,14566,25.7
24031,Soheil Eid Conservative/Conservateur,5705,10.1
24031,Mathieu Morin Green Party/Parti Vert,1335,2.4
24031,Robert D. Morais Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,213,0.4
24032,Karine Trudel NDP-New Democratic Party/NPD-Nouveau Parti démocratique,14039,29.2
24032,Marc Pettersen Liberal/Libéral,13700,28.5
24032,Jean-François Caron Bloc Québécois/Bloc Québécois,11202,23.3
24032,Ursula Larouche Conservative/Conservateur,8124,16.9
24032,Carmen Budilean Green Party/Parti Vert,656,1.4
24032,Marielle Couture Rhinoceros/Rhinocéros,382,0.8
24033,Mario Beaulieu Bloc Québécois/Bloc Québécois,18545,33.6
24033,Marie-Chantale Simard Liberal/Libéral,15777,28.6
24033,Ève Péclet ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,14777,26.8
24033,Guy Morissette Conservative/Conservateur,4408,8
24033,David J. Cox Green Party/Parti Vert,1130,2
24033,Ben 97 Benoit Rhinoceros/Rhinocéros,358,0.6
24033,Jean-François Larose Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,135,0.2
24033,Geneviève Royer Marxist-Leninist/Marxiste-Léniniste,96,0.2
24034,Jean-Claude Poissant Liberal/Libéral,20993,36.5
24034,Christian Picard Bloc Québécois/Bloc Québécois,15107,26.2
24034,Pierre Chicoine NDP-New Democratic Party/NPD-Nouveau Parti démocratique,13174,22.9
24034,Yves Perras Conservative/Conservateur,6859,11.9
24034,Joanne Tomas Green Party/Parti Vert,1235,2.1
24034,Normand Chouinard Marxist-Leninist/Marxiste-Léniniste,204,0.4
24035,Denis Lebel ** Conservative/Conservateur,18393,33.3
24035,Gisèle Dallaire NDP-New Democratic Party/NPD-Nouveau Parti démocratique,15735,28.5
24035,Sabin Simard Liberal/Libéral,10193,18.4
24035,Sabin Gaudreault Bloc Québécois/Bloc Québécois,10152,18.4
24035,Laurence Requilé Green Party/Parti Vert,806,1.5
24036,Francis Scarpaleggia ** Liberal/Libéral,39965,64.1
24036,Eric Girard Conservative/Conservateur,10857,17.4
24036,Ryan Young NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7997,12.8
24036,Bradford Dean Green Party/Parti Vert,1812,2.9
24036,Gabriel Bernier Bloc Québécois/Bloc Québécois,1681,2.7
24037,David Lametti Liberal/Libéral,23603,43.9
24037,Hélène LeBlanc ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,15566,29
24037,Gilbert Paquette Bloc Québécois/Bloc Québécois,9164,17
24037,Mohammad Zamir Conservative/Conservateur,3713,6.9
24037,Lorraine Banville Green Party/Parti Vert,1717,3.2
24038,David Graham Liberal/Libéral,20277,32.1
24038,Johanne Régimbald Bloc Québécois/Bloc Québécois,18792,29.7
24038,Simon-Pierre Landry NDP-New Democratic Party/NPD-Nouveau Parti démocratique,16644,26.3
24038,Sylvain Charron Conservative/Conservateur,6209,9.8
24038,Niloufar Hedjazi Green Party/Parti Vert,1251,2
24039,Hélène Laverdière ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,20929,38.3
24039,Gilles Duceppe Bloc Québécois/Bloc Québécois,15699,28.7
24039,Christine Poirier Liberal/Libéral,12938,23.7
24039,Daniel Gaudreau Conservative/Conservateur,2242,4.1
24039,Cyrille Giraud Green Party/Parti Vert,1904,3.5
24039,Stéphane Beaulieu Libertarian/Libertarien,604,1.1
24039,Julien Bernatchez Independent/Indépendant,160,0.3
24039,Serge Lachapelle Marxist-Leninist/Marxiste-Léniniste,103,0.2
24039,Pierre Fontaine Communist/Communiste,102,0.2
24040,Fayçal El-Khoury Liberal/Libéral,25857,47.7
24040,François Pilon ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,10710,19.8
24040,Roland Dick Conservative/Conservateur,9811,18.1
24040,Nancy Redhead Bloc Québécois/Bloc Québécois,6731,12.4
24040,Faiza R'Guiba-Kalogerakis Green Party/Parti Vert,921,1.7
24040,Yvon Breton Marxist-Leninist/Marxiste-Léniniste,175,0.3
24042,Jacques Gourde ** Conservative/Conservateur,31357,50.1
24042,Claude Boucher Liberal/Libéral,13562,21.7
24042,Hélène Bilodeau NDP-New Democratic Party/NPD-Nouveau Parti démocratique,9246,14.8
24042,Steve Gagné Bloc Québécois/Bloc Québécois,7163,11.4
24042,Tina Biello Green Party/Parti Vert,1124,1.8
24042,François Belanger ATN/ADN,136,0.2
24041,Sherry Romanado Liberal/Libéral,18301,35.4
24041,Philippe Cloutier Bloc Québécois/Bloc Québécois,13974,27
24041,Sadia Groguhé ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12468,24.1
24041,Thomas Barré Conservative/Conservateur,4961,9.6
24041,Mario Leclerc Green Party/Parti Vert,1510,2.9
24041,Matthew Iakov Liberman Rhinoceros/Rhinocéros,325,0.6
24041,Pierre Chénier Marxist-Leninist/Marxiste-Léniniste,168,0.3
24043,Pierre Nantel ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,18171,31.2
24043,Michael O'Grady Liberal/Libéral,17468,30
24043,Denis Trudel Bloc Québécois/Bloc Québécois,15873,27.3
24043,John Sedlak Conservative/Conservateur,5087,8.7
24043,Casandra Poitras Green Party/Parti Vert,1447,2.5
24043,Affine Lwalalika Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,153,0.3
24044,Joël Lightbound Liberal/Libéral,21516,34.8
24044,Jean-Pierre Asselin Conservative/Conservateur,16789,27.2
24044,Denis Blanchette ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12850,20.8
24044,Caroline Pageau Bloc Québécois/Bloc Québécois,8900,14.4
24044,Andrée-Anne Beaudoin-Julien Green Party/Parti Vert,1561,2.5
24044,Stefan Jetchick Christian Heritage Party/Parti de l'Héritage Chrétien,128,0.2
24045,Gérard Deltell Conservative/Conservateur,32637,50.5
24045,Youri Rousseau Liberal/Libéral,13852,21.4
24045,G. Daniel Caron NDP-New Democratic Party/NPD-Nouveau Parti démocratique,10296,15.9
24045,Ronald Sirard Bloc Québécois/Bloc Québécois,6688,10.3
24045,Michel Savard Green Party/Parti Vert,1210,1.9
24046,Marilène Gill Bloc Québécois/Bloc Québécois,17338,41.3
24046,Mario Tremblay Liberal/Libéral,12343,29.4
24046,Jonathan Genest-Jourdain ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7359,17.5
