district,name,votes,percent_votes
10001,Ken McDonald Liberal/Libéral,23528,55.9
10001,Scott Andrews ** No Affiliation/Aucune appartenance,7501,17.8
10001,Jeannie Baldwin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6075,14.4
10001,Lorraine E. Barnett Conservative/Conservateur,4670,11.1
10001,Krista Byrne-Puumala Green Party/Parti Vert,228,0.5
10001,Jennifer McCreath Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,84,0.2
10002,Judy M. Foote ** Liberal/Libéral,28704,81.8
10002,Mike Windsor Conservative/Conservateur,3534,10.1
10002,Jenn Brown NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2557,7.3
10002,Tyler John Colbourne Green Party/Parti Vert,297,0.8
10003,Scott Simms ** Liberal/Libéral,26523,74.8
10003,Kevin George O'Brien Conservative/Conservateur,6479,18.3
10003,Claudette Menchenton NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2175,6.1
10003,Elizabeth Perry Green Party/Parti Vert,271,0.8
10004,Yvonne Jones ** Liberal/Libéral,8878,71.8
10004,Edward Rudkowski NDP-New Democratic Party/NPD-Nouveau Parti démocratique,1779,14.4
10004,Peter Penashue Conservative/Conservateur,1716,13.9
10005,Gudie Hutchings Liberal/Libéral,30889,73.9
10005,Wayne Ruth Conservative/Conservateur,5085,12.2
10005,Devon Babstock NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4739,11.3
10005,Terry Cormier Green Party/Parti Vert,1111,2.7
10006,Nick Whalen Liberal/Libéral,20974,46.7
10006,Jack Harris ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,20328,45.3
10006,Deanne Stapleton Conservative/Conservateur,2938,6.5
10006,David Anthony Peters Green Party/Parti Vert,500,1.1
10006,Sean Burton Communist/Communiste,140,0.3
10007,Seamus O'Regan Liberal/Libéral,25922,57.9
10007,Ryan Cleary ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,16467,36.8
10007,Marek Krol Conservative/Conservateur,2047,4.6
10007,Jackson McLean Green Party/Parti Vert,365,0.8
11001,Lawrence MacAulay ** Liberal/Libéral,14621,65
11001,Julius Patkai Conservative/Conservateur,3632,16.2
11001,Billy Cann NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2503,11.1
11001,Teresa Doyle Green Party/Parti Vert,1434,6.4
11001,Christene Squires Christian Heritage Party/Parti de l'Héritage Chrétien,295,1.3
11002,Sean Casey ** Liberal/Libéral,11910,56.3
