district,name,votes,percent_votes
Avalon,Fabian Manning Conservative/Conservateur,19132,51.55
Avalon,Bill Morrow Liberal/Libéral,14318,38.58
Avalon,Eugene Conway N.D.P./N.P.D.,3365,9.07
Avalon,Shannon Hillier Green Party/Parti Vert,297,0.8
Bonavista--Gander--Grand Falls--Windsor,Scott Simms ** Liberal/Libéral,19866,52.04
Bonavista--Gander--Grand Falls--Windsor,Aaron Hynes Conservative/Conservateur,15376,40.28
Bonavista--Gander--Grand Falls--Windsor,Sandra Cooze N.D.P./N.P.D.,2668,6.99
Bonavista--Gander--Grand Falls--Windsor,Judy Davis Green Party/Parti Vert,265,0.69
Humber--St. Barbe--Baie Verte,Gerry Byrne ** Liberal/Libéral,17208,52.9
Humber--St. Barbe--Baie Verte,Cyril Jr. Pelley Conservative/Conservateur,10137,31.16
Humber--St. Barbe--Baie Verte,Holly Pike N.D.P./N.P.D.,4847,14.9
Humber--St. Barbe--Baie Verte,Martin Hanzalek Green Party/Parti Vert,339,1.04
Labrador,Todd Norman Russell ** Liberal/Libéral,5768,50.53
Labrador,Joe Goudie Conservative/Conservateur,4528,39.67
Labrador,Jacob Edward Larkin N.D.P./N.P.D.,1037,9.08
Labrador,Gail Zwicker Green Party/Parti Vert,82,0.72
Random--Burin--St. George's,Bill Matthews ** Liberal/Libéral,13652,45.49
Random--Burin--St. George's,Cynthia Downey Conservative/Conservateur,12232,40.76
Random--Burin--St. George's,Amanda Will N.D.P./N.P.D.,3702,12.34
Random--Burin--St. George's,Mark Brennan Green Party/Parti Vert,426,1.42
St. John's East/St. John's-Est,Norman Doyle ** Conservative/Conservateur,19110,46.56
St. John's East/St. John's-Est,Paul Antle Liberal/Libéral,14345,34.95
St. John's East/St. John's-Est,Mike Kehoe N.D.P./N.P.D.,7190,17.52
St. John's East/St. John's-Est,Stephen Eli Harris Green Party/Parti Vert,402,0.98
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Loyola Hearn ** Conservative/Conservateur,16644,44.69
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Siobhan Coady Liberal/Libéral,12295,33.01
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Peg Norman N.D.P./N.P.D.,8073,21.67
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Barry Crozier Green Party/Parti Vert,235,0.63
Cardigan,Lawrence MacAulay ** Liberal/Libéral,11542,56.21
Cardigan,Don Gillis Conservative/Conservateur,6923,33.72
Cardigan,Edith Perry N.D.P./N.P.D.,1535,7.48
Cardigan,Haida Arsenault-Antolick Green Party/Parti Vert,533,2.6
Charlottetown,Shawn Murphy ** Liberal/Libéral,9586,50.16
Charlottetown,Tom DeBlois Conservative/Conservateur,6524,34.14
Charlottetown,Brian Pollard N.D.P./N.P.D.,2126,11.12
Charlottetown,David Lobie Daughton Green Party/Parti Vert,586,3.07
Charlottetown,Andrew J. Chisholm Marijuana Party/Parti Marijuana,193,1.01
Charlottetown,Baird Judson Christian Heritage Party/Parti de l'Héritage Chrétien,97,0.51
Egmont,Joe McGuire ** Liberal/Libéral,10288,53.17
Egmont,Edward Guergis Conservative/Conservateur,5991,30.96
Egmont,Regena Kaye Russell N.D.P./N.P.D.,1847,9.55
Egmont,Ron Matsusaki Green Party/Parti Vert,1005,5.19
Egmont,Michael Nesbitt Independent/Indépendant,219,1.13
Malpeque,Wayne Easter ** Liberal/Libéral,9779,50.48
Malpeque,George Noble Conservative/Conservateur,6708,34.63
Malpeque,George Marshall N.D.P./N.P.D.,1983,10.24
Malpeque,Sharon Labchuk Green Party/Parti Vert,901,4.65
Cape Breton--Canso,Rodger Cuzner ** Liberal/Libéral,21424,53.19
Cape Breton--Canso,Kenzie MacNeil Conservative/Conservateur,9740,24.18
Cape Breton--Canso,Hector Morrison N.D.P./N.P.D.,8111,20.14
Cape Breton--Canso,Rob Hines Green Party/Parti Vert,1006,2.5
Central Nova/Nova-Centre,Peter G. MacKay ** Conservative/Conservateur,17134,40.66
Central Nova/Nova-Centre,Alexis MacDonald N.D.P./N.P.D.,13861,32.89
Central Nova/Nova-Centre,Dan Walsh Liberal/Libéral,10349,24.56
Central Nova/Nova-Centre,David Orton Green Party/Parti Vert,671,1.59
Central Nova/Nova-Centre,Allan H. Bezanson Marxist-Leninist/Marxiste-Léniniste,124,0.29
Cumberland--Colchester--Musquodoboit Valley,Bill Casey ** Conservative/Conservateur,22439,52.04
Cumberland--Colchester--Musquodoboit Valley,Gary Richard Liberal/Libéral,10299,23.89
Cumberland--Colchester--Musquodoboit Valley,Margaret Sagar N.D.P./N.P.D.,8944,20.74
Cumberland--Colchester--Musquodoboit Valley,N. Bruce Farrell Green Party/Parti Vert,910,2.11
Cumberland--Colchester--Musquodoboit Valley,Rick Simpson Independent/Indépendant,524,1.22
Dartmouth--Cole Harbour,Michael Savage ** Liberal/Libéral,19027,42.32
Dartmouth--Cole Harbour,Peter Mancini N.D.P./N.P.D.,14612,32.5
Dartmouth--Cole Harbour,Robert A. Campbell Conservative/Conservateur,10259,22.82
Dartmouth--Cole Harbour,Elizabeth Perry Green Party/Parti Vert,1005,2.24
Dartmouth--Cole Harbour,Charles Spurr Marxist-Leninist/Marxiste-Léniniste,56,0.12
Halifax,Alexa McDonough ** N.D.P./N.P.D.,23420,46.88
Halifax,Martin MacKinnon Liberal/Libéral,15437,30.9
Halifax,Andrew House Conservative/Conservateur,8993,18
Halifax,Nick Wright Green Party/Parti Vert,1948,3.9
Halifax,Tony Seed Marxist-Leninist/Marxiste-Léniniste,164,0.33
Halifax West/Halifax-Ouest,Geoff Regan ** Liberal/Libéral,21818,49.36
Halifax West/Halifax-Ouest,Alan Hill N.D.P./N.P.D.,10798,24.43
