district,name,votes,percent_votes
10001,Scott Andrews Liberal/Libéral,14866,45.28
10001,Fabian Manning ** Conservative/Conservateur,11542,35.16
10001,Randy Wayne Dawe NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5707,17.38
10001,Dave Aylward Green Party/Parti Vert,714,2.17
10002,Scott Simms ** Liberal/Libéral,20089,70.27
10002,Andrew House Conservative/Conservateur,4354,15.23
10002,Jason Holley NDP-New Democratic Party/NPD-Nouveau Parti démocratique,3577,12.51
10002,Robert Karl O'Connor Green Party/Parti Vert,568,1.99
10003,Gerry Byrne ** Liberal/Libéral,17956,68.22
10003,Mark Kennedy NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4603,17.49
10003,Lorne Robinson Conservative/Conservateur,2799,10.63
10003,Wayne Ronald Bennett NL First Party/NL First Party,964,3.66
10004,Todd Russell ** Liberal/Libéral,5426,70.28
10004,Phyllis Artiss NDP-New Democratic Party/NPD-Nouveau Parti démocratique,1378,17.85
10004,Lacey Lewis Conservative/Conservateur,615,7.97
10004,Nyssa Christine McLeod Green Party/Parti Vert,302,3.91
10005,Judy Foote Liberal/Libéral,12557,53.72
10005,Terry White NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5563,23.8
10005,Herb Davis Conservative/Conservateur,4791,20.5
10005,Kaitlin Wainwright Green Party/Parti Vert,462,1.98
10006,Jack Harris NDP-New Democratic Party/NPD-Nouveau Parti démocratique,30881,74.55
10006,Walter Noel Liberal/Libéral,5211,12.58
10006,Craig Westcott Conservative/Conservateur,3836,9.26
10006,Shannon John Tobin PC Party/Parti PC,578,1.4
10006,Howard Story Green Party/Parti Vert,570,1.38
10006,Les Coultas NL First Party/NL First Party,347,0.84
10007,Siobhan Coady Liberal/Libéral,14920,43.32
10007,Ryan Cleary NDP-New Democratic Party/NPD-Nouveau Parti démocratique,13971,40.57
10007,Merv Wiseman Conservative/Conservateur,4324,12.56
10007,Ted Warren Green Party/Parti Vert,643,1.87
10007,Greg Byrne NL First Party/NL First Party,402,1.17
10007,Terry Christopher Butler Independent/Indépendant,179,0.52
11001,Lawrence MacAulay ** Liberal/Libéral,10105,52.81
11001,Sid McMullin Conservative/Conservateur,5661,29.59
11001,Mike Avery NDP-New Democratic Party/NPD-Nouveau Parti démocratique,1556,8.13
11001,Larry McGuire Independent/Indépendant,1101,5.75
11001,Emma Daughton Green Party/Parti Vert,710,3.71
11002,Shawn Murphy ** Liberal/Libéral,8893,50.06
11002,Tom DeBlois Conservative/Conservateur,5704,32.11
11002,Brian Pollard NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2187,12.31
11002,Laura M. Bisaillon Green Party/Parti Vert,858,4.83
11002,Baird Judson Christian Heritage Party/Parti de l'Héritage Chrétien,124,0.7
11003,Gail Shea Conservative/Conservateur,8110,43.93
11003,Keith Milligan Liberal/Libéral,8055,43.63
11003,Orville Lewis NDP-New Democratic Party/NPD-Nouveau Parti démocratique,1670,9.05
11003,Rebecca Ridlington Green Party/Parti Vert,626,3.39
11004,Wayne Easter ** Liberal/Libéral,8312,44.19
11004,Mary Crane Conservative/Conservateur,7388,39.28
11004,J'Nan Brown NDP-New Democratic Party/NPD-Nouveau Parti démocratique,1819,9.67
11004,Peter Bevan-Baker Green Party/Parti Vert,1291,6.86
12001,Rodger Cuzner ** Liberal/Libéral,17447,48.1
12001,Allan Richard Murphy Conservative/Conservateur,8524,23.5
12001,Mark MacNeill NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7660,21.12
12001,Dwayne MacEachern Green Party/Parti Vert,2641,7.28
12002,Peter Gordon MacKay ** Conservative/Conservateur,18240,46.6
12002,Elizabeth May Green Party/Parti Vert,12620,32.24
12002,Mary Louise Lorefice NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7659,19.57
12002,Michael Harris MacKay Christian Heritage Party/Parti de l'Héritage Chrétien,427,1.09
12002,Paul Kemp CAP/PAC,196,0.5
12007,Bill Casey ** Independent/Indépendant,27303,69.01
12007,Karen Olsson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4874,12.32
12007,Joel E. Bernard Conservative/Conservateur,3493,8.83
12007,Tracy Parsons Liberal/Libéral,3344,8.45
12007,Rick Simpson Independent/Indépendant,550,1.39
12003,Michael John Savage ** Liberal/Libéral,16016,39.49
12003,Brad Pye NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12793,31.55
12003,Wanda Webber Conservative/Conservateur,9109,22.46
12003,Paul Shreenan Green Party/Parti Vert,2417,5.96
12003,George Campbell Christian Heritage Party/Parti de l'Héritage Chrétien,219,0.54
12004,Megan Leslie NDP-New Democratic Party/NPD-Nouveau Parti démocratique,19252,42.69
12004,Catherine Meade Liberal/Libéral,12458,27.62
12004,Ted Larsen Conservative/Conservateur,9295,20.61
12004,Darryl Whetter Green Party/Parti Vert,3931,8.72
12004,Tony Seed Marxist-Leninist/Marxiste-Léniniste,162,0.36
12005,Geoff Regan ** Liberal/Libéral,17129,41.56
12005,Tamara Lorincz NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12201,29.6
12005,Rakesh Khosla Conservative/Conservateur,8708,21.13
12005,Michael Munday Green Party/Parti Vert,2920,7.08
12005,Trevor Ennis Christian Heritage Party/Parti de l'Héritage Chrétien,257,0.62
12006,Scott Brison ** Liberal/Libéral,16641,44.19
12006,Rosemary Segado Conservative/Conservateur,9846,26.15
12006,Carol E. Harris NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8291,22.02
12006,Brendan MacNeill Green Party/Parti Vert,2353,6.25
12006,Jim Hnatiuk Christian Heritage Party/Parti de l'Héritage Chrétien,528,1.4
12008,Peter Stoffer ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,24279,61.42
12008,David Montgomery Conservative/Conservateur,8198,20.74
12008,Carolyn Scott Liberal/Libéral,5018,12.69
