district,name,votes,percent_votes
12008,Noreen Hartlen Green Party/Parti Vert,2034,5.15
12009,Gerald Keddy ** Conservative/Conservateur,14388,35.99
12009,Gordon S. Earle NDP-New Democratic Party/NPD-Nouveau Parti démocratique,13456,33.65
12009,Bill Smith Liberal/Libéral,9536,23.85
12009,Michael Oddy Green Party/Parti Vert,2090,5.23
12009,Joe Larkin Christian Heritage Party/Parti de l'Héritage Chrétien,513,1.28
12010,Mark Eyking ** Liberal/Libéral,17303,49.4
12010,Wayne McKay NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8559,24.44
12010,Kristen Rudderham Conservative/Conservateur,7223,20.62
12010,Collin Harker Green Party/Parti Vert,1941,5.54
12011,Greg Kerr Conservative/Conservateur,16779,39.94
12011,Robert Thibault ** Liberal/Libéral,15185,36.15
12011,George Barron NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7097,16.89
12011,Ronald Mills Green Party/Parti Vert,2106,5.01
12011,Cindy M. Nesbitt Independent/Indépendant,844,2.01
13001,Yvon Godin ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,25849,57.53
13001,Odette Robichaud Liberal/Libéral,9850,21.92
13001,Jean Guy Dubé Conservative/Conservateur,8331,18.54
13001,Michelle Aubin Green Party/Parti Vert,904,2.01
13002,Dominic LeBlanc ** Liberal/Libéral,20059,46.76
13002,Omer Leger Conservative/Conservateur,12506,29.16
13002,Chris Durrant NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7242,16.88
13002,Michael Milligan Green Party/Parti Vert,3087,7.2
13003,Keith Ashfield Conservative/Conservateur,17962,42.53
13003,David Innes Liberal/Libéral,13319,31.54
13003,Jesse Travis NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6490,15.37
13003,Mary Lou Babineau Green Party/Parti Vert,4293,10.17
13003,Ben Kelly CAP/PAC,168,0.4
13004,Rob Moore ** Conservative/Conservateur,17211,51.63
13004,Rob Moir NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7907,23.72
13004,Mark Wright Liberal/Libéral,5773,17.32
13004,Erik Matthew Millett Green Party/Parti Vert,2443,7.33
13005,Jean-Claude JC D'Amours ** Liberal/Libéral,16266,47.4
13005,Jean-Pierre Ouellet Conservative/Conservateur,11402,33.23
13005,Thérèse Tremblay-Philippe NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5361,15.62
13005,André Arpin Green Party/Parti Vert,1287,3.75
13006,Tilly O'Neill-Gordon Conservative/Conservateur,12058,42.08
13006,Charles Hubbard ** Liberal/Libéral,10590,36.95
13006,Donald A. Doucet NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4904,17.11
13006,Todd Smith Green Party/Parti Vert,1105,3.86
13007,Brian Murphy ** Liberal/Libéral,17797,39.13
13007,Daniel Allain Conservative/Conservateur,16297,35.83
13007,Carl Bainbridge NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7394,16.26
13007,Alison Ménard Green Party/Parti Vert,3998,8.79
13008,Greg Thompson ** Conservative/Conservateur,17474,58.32
13008,Nancy MacIntosh Liberal/Libéral,5863,19.57
13008,Andrew Graham NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4958,16.55
13008,Robert Wayne Boucher Green Party/Parti Vert,1667,5.56
13009,Rodney Weston Conservative/Conservateur,13782,39.55
13009,Paul Zed ** Liberal/Libéral,13285,38.13
13009,Tony Mowery NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5560,15.96
13009,Mike Richardson Green Party/Parti Vert,1888,5.42
13009,Michael Moffat Radical Marijuana/Radical Marijuana,330,0.95
13010,Mike Allen ** Conservative/Conservateur,18071,57.4
13010,Sally McGrath Liberal/Libéral,6773,21.51
13010,Alice Finnamore NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4830,15.34
13010,Mark Glass Green Party/Parti Vert,1810,5.75
24046,Yvon Lévesque ** Bloc Québécois/Bloc Québécois,10995,39.65
24046,Jean-Maurice Matte Conservative/Conservateur,8422,30.37
24046,Mark Canada Liberal/Libéral,5108,18.42
24046,Erica Martin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2276,8.21
24046,Patrick Rancourt Green Party/Parti Vert,928,3.35
24001,Marc Lemay ** Bloc Québécois/Bloc Québécois,20929,47.91
24001,Gilbert Barrette Liberal/Libéral,9055,20.73
24001,Pierre Grandmaitre Conservative/Conservateur,8267,18.93
24001,Christine Moore NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4151,9.5
24001,Bruno Côté Green Party/Parti Vert,976,2.23
24001,Ghislain Loiselle Independent/Indépendant,302,0.69
24002,Maria Mourani ** Bloc Québécois/Bloc Québécois,18815,39.49
24002,Eleni Bakopanos Liberal/Libéral,18392,38.6
24002,Jean Précourt Conservative/Conservateur,4937,10.36
24002,Alexandra Bélec NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4276,8.97
24002,Lynette Tremblay Green Party/Parti Vert,1228,2.58
24003,Robert Carrier ** Bloc Québécois/Bloc Québécois,20686,38.83
24003,Wilson Saintelmy Liberal/Libéral,15594,29.27
24003,Alexandre Salameh Conservative/Conservateur,8662,16.26
24003,Cynthia Roy NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6406,12.03
24003,Tristan Desjardins Drouin Green Party/Parti Vert,1665,3.13
24003,Régent Millette Independent/Indépendant,259,0.49
24004,Mario Laframboise ** Bloc Québécois/Bloc Québécois,26455,48.1
24004,André Robert Liberal/Libéral,9984,18.15
24004,Scott Pearce Conservative/Conservateur,9584,17.43
24004,Alain Senécal NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6819,12.4
24004,Pierre Audette Green Party/Parti Vert,2055,3.74
24004,Christian-Simon Ferlatte Marxist-Leninist/Marxiste-Léniniste,98,0.18
24054,Louis Plamondon ** Bloc Québécois/Bloc Québécois,26821,54.67
24054,Réjean Bériault Conservative/Conservateur,8904,18.15
24054,Ghislaine Cournoyer Liberal/Libéral,7987,16.28
24054,Nourredine Seddiki NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4010,8.17
24054,Rebecca Laplante Green Party/Parti Vert,1334,2.72
24005,Maxime Bernier ** Conservative/Conservateur,31883,62.41
24005,André Côté Bloc Québécois/Bloc Québécois,7143,13.98
24005,René Roy Liberal/Libéral,5270,10.32
24005,Véronique Poulin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4352,8.52
24005,Nicolas Rochette Green Party/Parti Vert,2436,4.77
24006,Claude Debellefeuille ** Bloc Québécois/Bloc Québécois,26904,50.07
24006,Dominique Bellemare Conservative/Conservateur,10858,20.21
24006,Maria Lopez Liberal/Libéral,7995,14.88
24006,Anne Minh Thu Quach NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6214,11.56
24006,David Smith Green Party/Parti Vert,1764,3.28
24007,Sylvie Boucher ** Conservative/Conservateur,17994,36.76
24007,Éléonore Mainguy Bloc Québécois/Bloc Québécois,15962,32.61
24007,Yves Picard Liberal/Libéral,7030,14.36
24007,Simon-Pierre Beaudet NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5986,12.23
24007,Luc Côté Green Party/Parti Vert,1363,2.78
24007,Simon Bédard Independent/Indépendant,610,1.25
24008,Guy André ** Bloc Québécois/Bloc Québécois,24945,45.83
24008,Marie-Claude Godue Conservative/Conservateur,12078,22.19
24008,Jean-Luc Matteau Liberal/Libéral,10035,18.44
24008,André Chauvette NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5684,10.44
24008,Denis Lefebvre Green Party/Parti Vert,1691,3.11
24009,Denis Coderre ** Liberal/Libéral,19869,49.79
24009,Daniel Mailhot Bloc Québécois/Bloc Québécois,10145,25.42
24009,Michelle Allaire Conservative/Conservateur,5405,13.55
24009,Samira Laouni NDP-New Democratic Party/NPD-Nouveau Parti démocratique,3188,7.99
24009,François Boucher Green Party/Parti Vert,1166,2.92
24009,Geneviève Royer Marxist-Leninist/Marxiste-Léniniste,130,0.33
24010,Christian Ouellet ** Bloc Québécois/Bloc Québécois,17561,35.21
24010,Denis Paradis Liberal/Libéral,16357,32.79
24010,Mark Quinlan Conservative/Conservateur,9309,18.66
24010,Christelle Bogosta NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4514,9.05
24010,Pierre Brassard Green Party/Parti Vert,1784,3.58
24010,David Marler Independent/Indépendant,354,0.71
24011,Alexandra Mendes Liberal/Libéral,19103,32.59
24011,Marcel Lussier ** Bloc Québécois/Bloc Québécois,19034,32.47
24011,Maurice Brossard Conservative/Conservateur,11062,18.87
24011,Hoang Mai NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7452,12.71
24011,Sonia Ziadé Green Party/Parti Vert,1816,3.1
24011,Normand Chouinard Marxist-Leninist/Marxiste-Léniniste,157,0.27
24012,Yves Lessard ** Bloc Québécois/Bloc Québécois,31773,50.08
24012,Gabriel Arsenault Liberal/Libéral,10649,16.78
24012,Suzanne Chartrand Conservative/Conservateur,9564,15.07
24012,Serge Gélinas NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8998,14.18
24012,Olivier Adam Green Party/Parti Vert,2460,3.88
24013,Daniel Petit ** Conservative/Conservateur,20566,41.15
24013,Denis Courteau Bloc Québécois/Bloc Québécois,14602,29.22
24013,Denise Legros Liberal/Libéral,7039,14.08
24013,Anne-Marie Day NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6542,13.09
24013,François Bédard Green Party/Parti Vert,1231,2.46
24015,Carole Freeman ** Bloc Québécois/Bloc Québécois,25086,45.58
24015,Linda Schwey Liberal/Libéral,10104,18.36
24015,Pierre-Paul Routhier Conservative/Conservateur,9827,17.86
24015,Sonia Jurado NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8261,15.01
24015,Brian Sarwer-Foner Green Party/Parti Vert,1755,3.19
24016,Robert Bouchard ** Bloc Québécois/Bloc Québécois,19737,41.31
24016,Jean-Guy Maltais Conservative/Conservateur,16680,34.91
24016,Marc Pettersen Liberal/Libéral,6425,13.45
24016,Stéphane Girard NDP-New Democratic Party/NPD-Nouveau Parti démocratique,3742,7.83
24016,Jean-François Veilleux Green Party/Parti Vert,1193,2.5
24017,France Bonsant ** Bloc Québécois/Bloc Québécois,20332,41.86
24017,William Hogg Liberal/Libéral,10946,22.53
24017,Michel Gagné Conservative/Conservateur,9445,19.44
24017,Jean Rousseau NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5483,11.29
24017,Gary Caldwell Green Party/Parti Vert,2368,4.88
24018,Roger Pomerleau Bloc Québécois/Bloc Québécois,17613,38.79
24018,André Komlosy Conservative/Conservateur,11490,25.31
24018,Jean Courchesne Liberal/Libéral,7697,16.95
24018,Annick Corriveau NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7460,16.43
24018,Réginald Gagnon Green Party/Parti Vert,1144,2.52
24019,Raynald Blais ** Bloc Québécois/Bloc Québécois,14636,40.1
24019,Denis Gauvreau Liberal/Libéral,9840,26.96
24019,Darryl Gray Conservative/Conservateur,8334,22.84
24019,Gaston Langlais NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2549,6.98
24019,Julien Leblanc Green Party/Parti Vert,1136,3.11
24020,Richard Nadeau ** Bloc Québécois/Bloc Québécois,15189,29.15
24020,Françoise Boivin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,13612,26.13
24020,Michel Simard Liberal/Libéral,13193,25.32
24020,Denis Tassé Conservative/Conservateur,8762,16.82
24020,David Inglis Green Party/Parti Vert,1342,2.58
24041,Jean-Yves Roy ** Bloc Québécois/Bloc Québécois,11984,37.53
24041,Nancy Charest Liberal/Libéral,11368,35.6
24041,Jérôme Landry Conservative/Conservateur,5771,18.07
24041,Julie Demers NDP-New Democratic Party/NPD-Nouveau Parti démocratique,1497,4.69
24041,Louis Drainville Green Party/Parti Vert,1139,3.57
24041,Liliane Potvin Independent/Indépendant,175,0.55
24021,Réal Ménard ** Bloc Québécois/Bloc Québécois,22720,49.73
24021,Diane Dicaire Liberal/Libéral,9442,20.67
24021,Jean-Claude Rocheleau NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6600,14.45
24021,Luc Labbé Conservative/Conservateur,4201,9.2
24021,Philippe Larochelle Green Party/Parti Vert,1946,4.26
24021,Simon Landry neorhino.ca/neorhino.ca,230,0.5
24021,Marianne Breton Fontaine Communist/Communiste,184,0.4
24021,Blair T. Longley Radical Marijuana/Radical Marijuana,183,0.4
24021,Christine Dandenault Marxist-Leninist/Marxiste-Léniniste,177,0.39
24022,Pablo Rodriguez ** Liberal/Libéral,21544,43.67
24022,Gérard Labelle Bloc Québécois/Bloc Québécois,13871,28.12
24022,Rodrigo Alfaro Conservative/Conservateur,7549,15.3
24022,François Pilon NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4986,10.11
24022,Gaëtan Bérard Green Party/Parti Vert,1380,2.8
24023,Marcel Proulx ** Liberal/Libéral,19750,37.45
24023,Raphaël Déry Bloc Québécois/Bloc Québécois,11625,22.05
24023,Pierre Ducasse NDP-New Democratic Party/NPD-Nouveau Parti démocratique,10454,19.83
24023,Paul Fréchette Conservative/Conservateur,7996,15.16
24023,Frédéric Pouyot Green Party/Parti Vert,2784,5.28
24023,Gabriel Girard-Bernier Marxist-Leninist/Marxiste-Léniniste,121,0.23
24024,Thierry St-Cyr ** Bloc Québécois/Bloc Québécois,17144,34.91
24024,Christian P. Feuillette Liberal/Libéral,15841,32.26
24024,Daniel Breton NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7708,15.7
24024,Daniel Beaudin Conservative/Conservateur,5494,11.19
24024,Véronik Sansoucy Green Party/Parti Vert,2345,4.78
24024,Darryl Gray Independent/Indépendant,577,1.17
24025,Pierre Paquette ** Bloc Québécois/Bloc Québécois,28040,52.4
24025,Sylvie Lavallée Conservative/Conservateur,9540,17.83
24025,Suzie St-Onge Liberal/Libéral,7769,14.52
24025,Francine Raynault NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5579,10.42
24025,Annie Durette Green Party/Parti Vert,2588,4.84
24026,Jean-Pierre Blackburn ** Conservative/Conservateur,26639,52.48
24026,Chantale Bouchard Bloc Québécois/Bloc Québécois,19035,37.5
24026,Marc Dupéré Liberal/Libéral,2616,5.15
24026,Jean-François Paradis NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2475,4.88
24027,Francis Scarpaleggia ** Liberal/Libéral,23842,46.39
24027,Andrea Paine Conservative/Conservateur,12085,23.51
24027,Daniel Quinn NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8105,15.77
24027,Peter Graham Green Party/Parti Vert,4415,8.59
24027,Maxime Clément Bloc Québécois/Bloc Québécois,2953,5.75
24028,Francine Lalonde ** Bloc Québécois/Bloc Québécois,25976,56.09
24028,Oumy Sarr Liberal/Libéral,7403,15.99
24028,Isabelle Maguire NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5975,12.9
24028,Hubert Pichet Conservative/Conservateur,5179,11.18
24028,Domita Cundari Green Party/Parti Vert,1340,2.89
24028,Ben 97 Benoit neorhino.ca/neorhino.ca,261,0.56
24028,Claude Brunelle Marxist-Leninist/Marxiste-Léniniste,177,0.38
24029,Lise Zarac Liberal/Libéral,17226,40.6
24029,Frédéric Isaya Bloc Québécois/Bloc Québécois,10384,24.47
24029,Béatrice Guay-Pepper Conservative/Conservateur,6802,16.03
24029,Amy Darwish NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5622,13.25
24029,Kristina Vitelli Green Party/Parti Vert,1579,3.72
24029,Antoine Kaluzny Independent/Indépendant,674,1.59
24029,Yves Le Seigle Marxist-Leninist/Marxiste-Léniniste,144,0.34
24030,Johanne Deschamps ** Bloc Québécois/Bloc Québécois,24956,47.08
24030,Pierre Gfeller Liberal/Libéral,14143,26.68
24030,Guy Joncas Conservative/Conservateur,6914,13.04
24030,David Dupras NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4896,9.24
24030,Jacques Rigal Green Party/Parti Vert,2094,3.95
24031,Gilles Duceppe ** Bloc Québécois/Bloc Québécois,24103,50.24
24031,Sébastien Caron Liberal/Libéral,8798,18.34
24031,François Grégoire NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8209,17.11
24031,Dylan Perceval-Maxwell Green Party/Parti Vert,3801,7.92
24031,Charles K. Langford Conservative/Conservateur,2320,4.84
24031,François Yo Gourd neorhino.ca/neorhino.ca,447,0.93
24031,Serge Lachapelle Marxist-Leninist/Marxiste-Léniniste,118,0.25
24031,Daniel 'F4J' Laforest Independent/Indépendant,93,0.19
24031,Samie Pagé-Quirion Communist/Communiste,86,0.18
24032,Nicole Demers ** Bloc Québécois/Bloc Québécois,19085,37.8
24032,Alia Haddad Liberal/Libéral,14190,28.1
24032,Jean-Pierre Bélisle Conservative/Conservateur,9101,18.02
24032,Alain Giguère NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6289,12.46
24032,Eric Madelein Green Party/Parti Vert,1607,3.18
24032,Yvon Breton Marxist-Leninist/Marxiste-Léniniste,221,0.44
24033,Raymonde Folco ** Liberal/Libéral,21603,40.45
24033,Mohamedali Jetha Bloc Québécois/Bloc Québécois,12576,23.55
24033,Agop Evereklian Conservative/Conservateur,11017,20.63
24033,Zahia El-Masri NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6124,11.47
24033,Brent Neil Green Party/Parti Vert,1752,3.28
24033,Sylvain A. Trottier neorhino.ca/neorhino.ca,336,0.63
24034,Steven Blaney ** Conservative/Conservateur,24785,45.9
24034,Guy Bergeron Bloc Québécois/Bloc Québécois,13747,25.46
24034,Pauline Côté Liberal/Libéral,8130,15.06
24034,Gabriel Biron NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5856,10.84
24034,Lynne Champoux-Williams Green Party/Parti Vert,1370,2.54
24034,Normand Fournier Marxist-Leninist/Marxiste-Léniniste,113,0.21
24035,Jean Dorion Bloc Québécois/Bloc Québécois,23118,46.12
24035,Ryan Hillier Liberal/Libéral,10920,21.79
24035,Jacques Bouchard Conservative/Conservateur,7210,14.38
24035,Lise St-Denis NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7021,14.01
24035,Danielle Moreau Green Party/Parti Vert,1752,3.5
24035,Serge Patenaude Marxist-Leninist/Marxiste-Léniniste,103,0.21
24036,Jacques Gourde ** Conservative/Conservateur,24495,47.27
24036,Antoine Sarrazin-Bourgoin Bloc Québécois/Bloc Québécois,12738,24.58
24036,Raymond Côté NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6828,13.18
24036,Marie-Thérèse Hovington Liberal/Libéral,6498,12.54
24036,Shirley Picknell Green Party/Parti Vert,1265,2.44
24037,Pascal-Pierre Paillé Bloc Québécois/Bloc Québécois,20992,36.23
24037,Luc Harvey ** Conservative/Conservateur,16343,28.21
24037,Jean Beaupré Liberal/Libéral,13669,23.59
24037,Denis Blanchette NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5403,9.33
24037,Michelle Fontaine Green Party/Parti Vert,1408,2.43
24037,Stefan Jetchick Christian Heritage Party/Parti de l'Héritage Chrétien,119,0.21
24038,Josée Verner ** Conservative/Conservateur,23683,47.14
24038,France Gagné Bloc Québécois/Bloc Québécois,13330,26.53
24038,Hélène H. Leone Liberal/Libéral,6712,13.36
24038,Alexandrine Latendresse NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5252,10.45
24038,Jean Cloutier Green Party/Parti Vert,1260,2.51
24039,Gérard Asselin ** Bloc Québécois/Bloc Québécois,15272,49.29
24039,Pierre Breton Conservative/Conservateur,8374,27.03
24039,Randy Jones Liberal/Libéral,4737,15.29
24039,Michaël Chicoine NDP-New Democratic Party/NPD-Nouveau Parti démocratique,1491,4.81
24039,Jacques Gélineau Green Party/Parti Vert,1112,3.59
24040,Serge Ménard ** Bloc Québécois/Bloc Québécois,25552,45.53
24040,Robert Frégeau Liberal/Libéral,13728,24.46
24040,Claude Moreau Conservative/Conservateur,7759,13.82
24040,Benoît Beauchamp NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6907,12.31
24040,Lise Bissonnette Green Party/Parti Vert,2178,3.88
24042,Christian Paradis ** Conservative/Conservateur,20697,46.7
24042,Pierre Turcotte Bloc Québécois/Bloc Québécois,12283,27.72
24042,Nicole Champagne Liberal/Libéral,6185,13.96
24042,Bruno Vézina NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4191,9.46
24042,Jean-R. Guernon Green Party/Parti Vert,959,2.16
24043,Roger Gaudet ** Bloc Québécois/Bloc Québécois,33519,55.69
24043,David Grégoire Liberal/Libéral,8387,13.93
24043,Marie-Josée Beauchamp NDP-New Democratic Party/NPD-Nouveau Parti démocratique,8337,13.85
24043,Claude Marc Boudreau Conservative/Conservateur,8096,13.45
24043,Michel Paulette Green Party/Parti Vert,1854,3.08
24058,Paul Crête ** Bloc Québécois/Bloc Québécois,20494,46.03
24058,Denis Laflamme Conservative/Conservateur,13640,30.64
24058,Jean Bouchard Liberal/Libéral,6835,15.35
24058,Gaston Hervieux NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2428,5.45
24058,Claude Gaumond Green Party/Parti Vert,978,2.2
24058,Aubert Côté Christian Heritage Party/Parti de l'Héritage Chrétien,147,0.33
24014,Michel Guimond ** Bloc Québécois/Bloc Québécois,21068,48.88
24014,Guy-Léonard Tremblay Conservative/Conservateur,11789,27.35
24014,Robert Gauthier Liberal/Libéral,5769,13.38
24014,Jonathan Tremblay NDP-New Democratic Party/NPD-Nouveau Parti démocratique,3332,7.73
24014,Jacques Legros Green Party/Parti Vert,1147,2.66
24044,Irwin Cotler ** Liberal/Libéral,19702,55.65
24044,Rafael Tzoubari Conservative/Conservateur,9676,27.33
24044,Nicolas Thibodeau NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2733,7.72
24044,Tyrell Alexander Green Party/Parti Vert,1565,4.42
24044,Maryse Lavallée Bloc Québécois/Bloc Québécois,1543,4.36
24044,Diane Johnston Marxist-Leninist/Marxiste-Léniniste,97,0.27
